Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

100000000;TOTAL ACTIVOS;23.380.994.374.641;22.367.654.470.333;183.094.336.530;6.163.698.499.272;52.095.441.680.776
105000000;EFECTIVO Y DEPÓSITOS EN BANCOS;1.481.646.351.825;0;0;1.217.429.791.821;2.699.076.143.646
105000100;Efectivo;758.284.379.125;0;0;120.845.710.723;879.130.089.848
105000101;Efectivo en oficinas;238.466.754.261;0;0;96.673.833.120;335.140.587.381
105000102;Efectivo en empresas transportadoras de valores;519.817.624.864;0;0;24.171.877.603;543.989.502.467
105000103;Efectivo en custodia en otras entidades financieras;0;0;0;0;0
105000200;Depósitos en el Banco Central de Chile;719.905.169.691;0;0;316.571.182.291;1.036.476.351.982
105000201;Depósitos en cuenta corriente;719.905.169.691;0;0;316.571.182.291;1.036.476.351.982
105000202;Depósitos overnight;0;0;0;0;0
105000209;Otros depósitos disponibles;0;0;0;0;0
105000300;Depósitos en Bancos Centrales del exterior;0;0;0;0;0
105000301;Depósitos en cuenta corriente;0;0;0;0;0
105000302;Depósitos overnight;0;0;0;0;0
105000309;Otros depósitos disponibles;0;0;0;0;0
105000400;Depósitos en bancos del país;3.456.803.009;0;0;9.310.281.431;12.767.084.440
105000500;Depósitos en bancos del exterior;0;0;0;770.702.617.376;770.702.617.376
107000000;OPERACIONES CON LIQUIDACION EN CURSO;205.423.933.933;0;0;167.031.569.345;372.455.503.278
107000100;Documentos a cargo de otros bancos (canje);90.799.834.250;0;0;18.834.964.330;109.634.798.580
107000101;Canje no deducible;36.950.516;0;0;0;36.950.516
107000102;Canje de la plaza;90.065.084.523;0;0;16.089.105.959;106.154.190.482
107000103;Canje de otras plazas;697.799.211;0;0;2.745.858.371;3.443.657.582
107000200;Transferencias de fondos en curso con una contraparte central;0;0;0;0;0
107000201;Fondos pendientes de transferencia por operaciones en la cámara de swaps;0;0;0;0;0
107000202;Fondos pendientes de transferencia por operaciones en la cámara de forwards;0;0;0;0;0
107000300;Transferencias de fondos en curso a través de una cámara de compensación de alto valor;14.379.158.900;0;0;0;14.379.158.900
107000400;Otras transferencias de fondos en curso con Bancos u Otros;100.244.940.783;0;0;148.196.605.015;248.441.545.798
107000401;Pagos de contrapartes por liquidar - Bancos;39.310.343.610;0;0;0;39.310.343.610
107000409;Divisas pendientes de transferencia - Bancos;14.549.197.219;0;0;147.667.626.672;162.216.823.891
107000411;Pagos de contrapartes por liquidar - Otros;46.385.399.954;0;0;520.144.707;46.905.544.661
107000419;Divisas pendientes de transferencia - Otros;0;0;0;8.833.636;8.833.636
110000000;ACTIVOS FINANCIEROS PARA NEGOCIAR A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS;3.787.120.909.719;239.124.663.660;0;403.177.623.972;4.429.423.197.351
111000100;Contratos de derivados financieros;1.901.255.606.277;0;0;402.097.627.552;2.303.353.233.829
111000101;Forwards;218.826.472.174;0;0;8.843.744.848;227.670.217.022
111000102;Swaps;1.677.227.801.176;0;0;393.253.882.704;2.070.481.683.880
111000103;Opciones Call;4.948.585.257;0;0;0;4.948.585.257
111000104;Opciones Put;252.747.670;0;0;0;252.747.670
111000105;Futuros;0;0;0;0;0
111000109;Otros;0;0;0;0;0
