Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;10.011.968;8.632.112;16.029;10.108.850;28.768.959
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;307.241;0;0;687.621;994.862
1100100;Efectivo;150.896;0;0;98.227;249.123
1100200;Depósitos en el Banco Central de Chile;147.043;0;0;12.084;159.127
1100300;Depósitos en bancos del país;9.133;0;0;523;9.656
1100400;Depósitos en el exterior;169;0;0;576.787;576.956
1130000;OPERACIONES CON LIQUIDACION EN CURSO;241.199;0;0;387.525;628.724
1130100;Documentos a cargo de otros bancos (canje);35.142;0;0;4.208;39.350
1130200;Transferencias de fondos en curso;206.057;0;0;383.317;589.374
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;14.403;0;0;9.110;23.513
1150100;Del Estado y Banco Central de Chile;10.921;0;0;0;10.921
1150200;Otros instrumentos emitidos en el país;3;0;0;0;3
1150300;Instrumentos emitidos en el exterior;0;0;0;9.110;9.110
1150400;Inversiones en Fondos Mutuos;3.479;0;0;0;3.479
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;119.071;0;0;58.920;177.991
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;119.071;0;0;58.920;177.991
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;840.714;68.010;0;295.608;1.204.332
1250100;Contratos de negociación;817.650;68.010;0;291.142;1.176.802
1250200;Contratos para cobertura contable;23.064;0;0;4.466;27.530
1270000;ADEUDADO POR BANCOS;-75;0;0;58.453;58.378
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;-75;0;0;58.453;58.378
1270202;Préstamos interbancarios de liquidez;0;0;0;5.594;5.594
1270203;Préstamos interbancarios comerciales;0;0;0;10.557;10.557
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270290;Provisiones para créditos con bancos del exterior;-75;0;0;-175;-250
1270300;Banco Central de Chile;0;0;0;0;0
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;5.619.778;7.739.517;6.466;6.592.933;19.958.694
1302000;COLOCACIONES COMERCIALES;4.393.292;4.029.668;6.466;5.377.674;13.807.100
1302100;Préstamos comerciales;3.867.642;3.015.269;0;4.263.800;11.146.711
1302101;Préstamos en el país;3.866.928;2.428.769;0;1.069.642;7.365.339
1302102;Préstamos en el exterior;714;0;0;3.194.158;3.194.872
1302170;Préstamos con letras de crédito para fines generales;0;11.976;0;0;11.976
1302180;Préstamos con mutuos hipotecarios endosables;0;574.524;0;0;574.524
1302200;Créditos de comercio exterior;106.249;0;0;595.133;701.382
1302201;Acreditivos negociados a plazo de exportaciones chilenas;0;0;0;0;0
1302202;Otros créditos para exportaciones chilenas;91.072;0;0;293.815;384.887
1302241;Acreditivos negociados a plazo de importaciones chilenas;9.527;0;0;196.363;205.890
1302242;Otros créditos para importaciones chilenas;5.650;0;0;102.419;108.069
1302281;Acreditivos negociados a plazo de operaciones entre terceros países;0;0;0;0;0
1302282;Otros créditos para operaciones entre terceros países;0;0;0;2.536;2.536
1302300;Deudores en cuentas corrientes;113.931;1;0;19.202;133.134
1302500;Operaciones de factoraje;115.045;3.863;0;10.430;129.338
1302600;Préstamos estudiantiles;0;710.627;0;0;710.627
1302601;Créditos para estudios superiores Ley N° 20.027;0;704.334;0;0;704.334
1302602;Créditos con garantía CORFO;0;4.792;0;0;4.792
1302604;Otros créditos para estudios superiores;0;1.501;0;0;1.501
1302800;Operaciones de leasing comercial;179.680;298.594;5.471;475.761;959.506
1302900;Otros créditos y cuentas por cobrar;10.745;1.314;995;13.348;26.402
1304000;COLOCACIONES PARA VIVIENDA;58;3.703.139;0;557.081;4.260.278
1304100;Préstamos con letras de crédito;0;45.095;0;0;45.095
1304101;Con letras de crédito para vivienda;0;41.755;0;0;41.755
1304102;Con letras de crédito para fines generales;0;3.340;0;0;3.340
1304200;Préstamos con mutuos hipotecarios endosable;0;130.903;0;0;130.903
1304400;Prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
1304500;Otros créditos con mutuos para vivienda;58;3.501.542;0;256.509;3.758.109
1304600;Créditos provenientes de la ANAP;0;0;0;0;0
1304800;Operaciones de leasing para vivienda;0;21;0;300.572;300.593
1304900;Otros créditos y cuentas por cobrar;0;25.578;0;0;25.578
1305000;COLOCACIONES DE CONSUMO;1.582.572;6.710;0;992.638;2.581.920
1305100;Créditos de consumo en cuotas;1.072.387;6.252;0;796.376;1.875.015
1305300;Deudores en cuentas corrientes;204.650;0;0;3.528;208.178
1305400;Deudores por tarjetas de crédito;305.329;0;0;120.102;425.431
1305800;Operaciones de leasing de consumo;201;458;0;9.598;10.257
1305900;Otros créditos y cuentas por cobrar;5;0;0;63.034;63.039
1309000;PROVISIONES CONSTITUIDAS;-356.144;0;0;-334.460;-690.604
1309100;Provisiones colocaciones comerciales;-240.286;0;0;-241.260;-481.546
1309200;Provisiones colocaciones para vivienda;-19.052;0;0;-24.056;-43.108
1309300;Provisiones colocaciones de consumo;-96.806;0;0;-69.144;-165.950
1350000;INSTRUMENTOS DE INVERSIÓN DISPONIBLES PARA LA VENTA;773.367;814.051;9.563;1.183.410;2.780.391
1350100;Del Estado y Banco Central de Chile;767.210;806.596;0;13.410;1.587.216
1350200;Otros instrumentos emitidos en el país;6.157;7.455;9.563;0;23.175
1350300;Instrumentos emitidos en el exterior;0;0;0;1.170.000;1.170.000
1360000;INSTRUMENTOS DE INVERSIÓN HASTA EL VENCIMIENTO;0;0;0;309.086;309.086
1360100;Del Estado y Banco Central de Chile;0;0;0;0;0
1360200;Otros instrumentos emitidos en el país;0;0;0;0;0
1360300;Instrumentos emitidos en el exterior;0;0;0;309.086;309.086
