
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;467.611;493.240;159;558.391;1.519.401
4100100;Contratos de retrocompra;1.959;0;0;1.608;3.567
4100101;Intereses;1.959;0;0;1.608;3.567
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;736;0;0;805;1.541
4100201;Intereses;736;0;0;805;1.541
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;244.103;224.425;156;355.517;824.201
4100301;Intereses de préstamos comerciales;203.289;61.723;2;266.461;531.475
4100309;Intereses de créditos de comercio exterior;4.517;0;0;42.035;46.552
4100310;Intereses de créditos en cuentas corrientes;13.261;4;0;1.021;14.286
4100320;Intereses de operaciones de factoraje;5.682;11;154;4.203;10.050
4100325;Intereses de préstamos estudiantiles;0;35.871;0;0;35.871
4100330;Intereses por leasing comercial;13.469;9.957;0;37.223;60.649
4100340;Intereses de otros créditos y cuentas por cobrar;0;3;0;4.234;4.237
4100351;Reajustes de préstamos comerciales;0;89.852;0;200;90.052
4100359;Reajustes de créditos de comercio exterior;0;0;0;0;0
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;9;0;0;9
4100375;Reajustes de préstamos estudiantiles;0;18.283;0;0;18.283
4100380;Reajustes por leasing comercial;0;7.583;0;0;7.583
4100390;Reajustes de otros créditos y cuentas por cobrar;0;498;0;0;498
4100399;Comisiones por prepago de créditos comerciales;3.885;631;0;140;4.656
4100400;Colocaciones para vivienda;812;244.578;0;55.574;300.964
4100401;Intereses de préstamos con letras de crédito;0;1.212;0;0;1.212
4100402;Comisiones de préstamos con letras de crédito;0;673;0;0;673
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;0;4.629;0;0;4.629
4100407;Intereses de otros mutuos para vivienda;0;119.913;0;26.120;146.033
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;0;0;29.454;29.454
4100430;Intereses de otros créditos para vivienda;0;904;0;0;904
4100451;Reajustes de préstamos con letras de crédito;0;690;0;0;690
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;2.566;0;0;2.566
4100457;Reajustes de otros mutuos para vivienda;0;112.430;0;0;112.430
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;0;0;0;0
4100490;Reajustes de otros créditos para vivienda;812;495;0;0;1.307
4100499;Comisiones por prepago de créditos para vivienda;0;1.066;0;0;1.066
4100500;Colocaciones de consumo;215.811;392;0;108.367;324.570
4100501;Intereses de créditos de consumo en cuotas;134.602;262;0;86.527;221.391
4100510;Intereses de créditos en cuentas corrientes;34.777;0;0;440;35.217
4100520;Intereses de créditos por tarjetas de crédito;43.886;0;0;21.041;64.927
4100530;Intereses por leasing de consumo;28;0;0;213;241
4100540;Intereses de otros créditos de consumo;1;0;0;146;147
4100590;Reajustes colocaciones de consumo;0;130;0;0;130
