
Código Contable;Descripción;Total (suma de todas las monedas)
 
411000000;INGRESOS POR INTERESES;1.248.555.102.115
411100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;1.086.249.116.056
411150000;Derechos por pactos de retroventa y prestamos de valores;9.667.803.284
411150100;Operaciones con bancos del país;0
411150101;Contratos de retroventa con otros bancos;0
411150102;Contratos de retroventa con Banco Central de Chile;0
411150103;Derechos por préstamos de valores;0
411150200;Operaciones con bancos del exterior;2.840.382.049
411150201;Contratos de retroventa con otros bancos;385.214.173
411150202;Contratos de retroventa con Bancos Centrales del exterior;2.455.167.876
411150203;Derechos por préstamos de valores;0
411150300;Operaciones con otras entidades en el país;5.560.707.795
411150301;Contratos de retroventa;5.560.707.795
411150302;Derechos por préstamos de valores;0
411150400;Operaciones con otras entidades en el exterior;1.266.713.440
411150401;Contratos de retroventa;1.266.713.440
411150402;Derechos por préstamos de valores;0
411200000;Instrumentos financieros de deuda;50.148.927.116
411200100;Del Estado y Banco Central de Chile;11.109.615.739
411200101;Instrumentos financieros de deuda del Banco Central de Chile;0
411200102;Bonos y pagarés de la Tesorería General de la República;11.109.615.739
411200109;Otros instrumentos financieros de deuda fiscales;0
411200200;Otros instrumentos financieros de deuda emitidos en el país;0
411200201;Instrumentos financieros de deuda de otros bancos del país;0
411200202;Bonos y efectos de comercio de empresas del país;0
411200209;Otros instrumentos financieros de deuda emitidos en el país;0
411200300;Instrumentos financieros de deuda emitidos en el exterior;39.039.311.377
411200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411200302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
411200303;Instrumentos financieros de deuda de otros bancos en el exterior;881.990.227
411200304;Bonos y efectos de comercio de empresas en el exterior;0
411200309;Otros instrumentos financieros de deuda emitidos en el exterior;38.157.321.150
411250000;Adeudado por bancos;1.013.235.994
411250100;Bancos del país;640.416.643
411250101;Préstamos interbancarios de liquidez;640.416.643
411250102;Préstamos interbancarios comerciales;0
411250103;Sobregiros en cuentas corrientes;0
411250104;Créditos comercio exterior exportaciones chilenas;0
411250105;Créditos comercio exterior importaciones chilenas;0
411250106;Créditos comercio exterior entre terceros países;0
411250107;Depósitos no transferibles en bancos del país;0
411250190;Otras acreencias con bancos del país;0
411250200;Bancos del exterior;372.819.351
411250201;Préstamos interbancarios de liquidez;372.819.351
411250202;Préstamos interbancarios comerciales;0
411250203;Sobregiros en cuentas corrientes;0
411250204;Créditos comercio exterior exportaciones chilenas;0
411250205;Créditos comercio exterior importaciones chilenas;0
411250206;Créditos comercio exterior entre terceros países;0
411250207;Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados;0
411250208;Otros depósitos no transferibles en bancos del exterior;0
411250290;Otras acreencias con bancos del exterior;0
411250300;Banco Central de Chile;0
411250301;Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER;0
411250302;Otros depósitos en el Banco Central de Chile no disponibles;0
411250309;Otras acreencias con el Banco Central de Chile;0
411250400;Bancos Centrales del exterior;0
411250401;Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados;0
