Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;2.779.146;2.313.345;83.264;916.502;6.092.257
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;194.304;0;0;142.907;337.211
1100100;Efectivo;13.212;0;0;6.990;20.202
1100200;Depósitos en el Banco Central de Chile;180.081;0;0;34.783;214.864
1100300;Depósitos en bancos del país;1.011;0;0;933;1.944
1100400;Depósitos en el exterior;0;0;0;100.201;100.201
1130000;OPERACIONES CON LIQUIDACION EN CURSO;103.882;0;0;15.470;119.352
1130100;Documentos a cargo de otros bancos (canje);27.064;0;0;2.494;29.558
1130200;Transferencias de fondos en curso;76.818;0;0;12.976;89.794
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;300.242;151.436;0;0;451.678
1150100;Del Estado y Banco Central de Chile;197.389;148.364;0;0;345.753
1150200;Otros instrumentos emitidos en el país;60.953;3.072;0;0;64.025
1150300;Instrumentos emitidos en el exterior;0;0;0;0;0
1150400;Inversiones en Fondos Mutuos;41.900;0;0;0;41.900
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;0;0;0;0;0
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;0;0;0;0;0
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;49.877;0;0;8.311;58.188
1250100;Contratos de negociación;49.877;0;0;8.311;58.188
1250200;Contratos para cobertura contable;0;0;0;0;0
1270000;ADEUDADO POR BANCOS;-97;0;0;12.313;12.216
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;-97;0;0;12.313;12.216
1270202;Préstamos interbancarios de liquidez;0;0;0;0;0
1270203;Préstamos interbancarios comerciales;0;0;0;0;0
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;12.313;12.313
1270290;Provisiones para créditos con bancos del exterior;-97;0;0;0;-97
1270300;Banco Central de Chile;0;0;0;0;0
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;1.470.159;2.161.315;83.264;690.787;4.405.525
1302000;COLOCACIONES COMERCIALES;1.400.267;1.409.772;83.264;688.698;3.582.001
1302100;Préstamos comerciales;1.254.334;1.087.124;59.419;430.679;2.831.556
1302101;Préstamos en el país;1.254.334;1.013.735;59.419;430.679;2.758.167
1302102;Préstamos en el exterior;0;0;0;0;0
1302170;Préstamos con letras de crédito para fines generales;0;3.046;0;0;3.046
