
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;104.519;294.818;6.355;28.968;434.660
4100100;Contratos de retrocompra;86;0;0;0;86
4100101;Intereses;86;0;0;0;86
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;0;0;0;0;0
4100201;Intereses;0;0;0;0;0
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;87.811;173.495;6.355;25.773;293.434
4100301;Intereses de préstamos comerciales;72.229;40.568;3.298;19.386;135.481
4100309;Intereses de créditos de comercio exterior;167;0;301;5.610;6.078
4100310;Intereses de créditos en cuentas corrientes;1.865;0;0;35;1.900
4100320;Intereses de operaciones de factoraje;4.699;18;0;278;4.995
4100325;Intereses de préstamos estudiantiles;0;287;0;0;287
4100330;Intereses por leasing comercial;5.229;10.705;2.756;0;18.690
4100340;Intereses de otros créditos y cuentas por cobrar;22;0;0;0;22
4100351;Reajustes de préstamos comerciales;11;101.932;0;0;101.943
4100359;Reajustes de créditos de comercio exterior;0;0;0;0;0
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;0;0;0;0
4100375;Reajustes de préstamos estudiantiles;0;383;0;0;383
4100380;Reajustes por leasing comercial;0;19.341;0;0;19.341
4100390;Reajustes de otros créditos y cuentas por cobrar;0;2;0;0;2
4100399;Comisiones por prepago de créditos comerciales;3.589;259;0;464;4.312
4100400;Colocaciones para vivienda;39;123.515;0;0;123.554
4100401;Intereses de préstamos con letras de crédito;0;17;0;0;17
4100402;Comisiones de préstamos con letras de crédito;16;0;0;0;16
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;6;35.860;0;0;35.866
4100407;Intereses de otros mutuos para vivienda;0;0;0;0;0
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;1;0;0;1
4100430;Intereses de otros créditos para vivienda;0;0;0;0;0
4100451;Reajustes de préstamos con letras de crédito;0;23;0;0;23
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;17;87.607;0;0;87.624
4100457;Reajustes de otros mutuos para vivienda;0;4;0;0;4
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;3;0;0;3
4100490;Reajustes de otros créditos para vivienda;0;0;0;0;0
4100499;Comisiones por prepago de créditos para vivienda;0;0;0;0;0
4100500;Colocaciones de consumo;10.151;837;0;2.224;13.212
4100501;Intereses de créditos de consumo en cuotas;7.567;9;0;0;7.576
4100510;Intereses de créditos en cuentas corrientes;4;0;0;2.224;2.228
4100520;Intereses de créditos por tarjetas de crédito;2.419;0;0;0;2.419
4100530;Intereses por leasing de consumo;0;0;0;0;0
4100540;Intereses de otros créditos de consumo;0;0;0;0;0
4100590;Reajustes colocaciones de consumo;0;826;0;0;826
4100599;Comisiones por prepago de créditos de consumo;161;2;0;0;163
4100600;Instrumentos de inversión;11.023;3.641;0;893;15.557
4100601;Intereses de inversiones disponibles para la venta;11.023;829;0;893;12.745
4100621;Intereses de inversiones hasta el vencimiento;0;0;0;0;0
4100651;Reajustes de inversiones disponibles para la venta;0;2.812;0;0;2.812
4100671;Reajustes de inversiones hasta el vencimiento;0;0;0;0;0
4100800;Otros ingresos por intereses o reajustes;5.356;275;0;54;5.685
4100801;Intereses por saldos en cuentas corrientes;0;0;0;0;0
4100804;Intereses operaciones overnight;0;0;0;19;19
4100810;Otros intereses ganados;3.288;0;0;35;3.323
4100850;Otros reajustes ganados;2.068;275;0;0;2.343
4100900;Resultado de coberturas contables;-9.947;-6.945;0;24;-16.868
4150000;GASTOS POR INTERESES Y REAJUSTES;-17.858;-181.250;-2.246;-10.333;-211.687
4150100;Depósitos a la vista;0;-796;0;0;-796
