
Código Contable;Descripción;Total (suma de todas las monedas)
 
411000000;INGRESOS POR INTERESES;481.068.469.291
411100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;452.647.067.543
411150000;Derechos por pactos de retroventa y prestamos de valores;193.387.186
411150100;Operaciones con bancos del país;0
411150101;Contratos de retroventa con otros bancos;0
411150102;Contratos de retroventa con Banco Central de Chile;0
411150103;Derechos por préstamos de valores;0
411150200;Operaciones con bancos del exterior;0
411150201;Contratos de retroventa con otros bancos;0
411150202;Contratos de retroventa con Bancos Centrales del exterior;0
411150203;Derechos por préstamos de valores;0
411150300;Operaciones con otras entidades en el país;193.387.186
411150301;Contratos de retroventa;193.387.186
411150302;Derechos por préstamos de valores;0
411150400;Operaciones con otras entidades en el exterior;0
411150401;Contratos de retroventa;0
411150402;Derechos por préstamos de valores;0
411200000;Instrumentos financieros de deuda;20.839.947.225
411200100;Del Estado y Banco Central de Chile;14.387.852.060
411200101;Instrumentos financieros de deuda del Banco Central de Chile;0
411200102;Bonos y pagarés de la Tesorería General de la República;14.387.852.060
411200109;Otros instrumentos financieros de deuda fiscales;0
411200200;Otros instrumentos financieros de deuda emitidos en el país;1.174.621.083
411200201;Instrumentos financieros de deuda de otros bancos del país;0
411200202;Bonos y efectos de comercio de empresas del país;1.174.621.083
411200209;Otros instrumentos financieros de deuda emitidos en el país;0
411200300;Instrumentos financieros de deuda emitidos en el exterior;5.277.474.082
411200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411200302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;3.703.645.520
411200303;Instrumentos financieros de deuda de otros bancos en el exterior;0
411200304;Bonos y efectos de comercio de empresas en el exterior;993.670.874
411200309;Otros instrumentos financieros de deuda emitidos en el exterior;580.157.688
411250000;Adeudado por bancos;1.053.194.443
411250100;Bancos del país;1.053.194.443
411250101;Préstamos interbancarios de liquidez;0
411250102;Préstamos interbancarios comerciales;1.053.194.443
411250103;Sobregiros en cuentas corrientes;0
411250104;Créditos comercio exterior exportaciones chilenas;0
411250105;Créditos comercio exterior importaciones chilenas;0
411250106;Créditos comercio exterior entre terceros países;0
411250107;Depósitos no transferibles en bancos del país;0
411250190;Otras acreencias con bancos del país;0
411250200;Bancos del exterior;0
411250201;Préstamos interbancarios de liquidez;0
411250202;Préstamos interbancarios comerciales;0
411250203;Sobregiros en cuentas corrientes;0
411250204;Créditos comercio exterior exportaciones chilenas;0
411250205;Créditos comercio exterior importaciones chilenas;0
411250206;Créditos comercio exterior entre terceros países;0
411250207;Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados;0
411250208;Otros depósitos no transferibles en bancos del exterior;0
411250290;Otras acreencias con bancos del exterior;0
411250300;Banco Central de Chile;0
411250301;Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER;0
411250302;Otros depósitos en el Banco Central de Chile no disponibles;0
411250309;Otras acreencias con el Banco Central de Chile;0
411250400;Bancos Centrales del exterior;0
411250401;Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados;0
411250402;Otros depósitos en Bancos Centrales del exterior no disponibles;0
411250409;Otras acreencias con Bancos Centrales del exterior;0
411280000;Colocaciones comerciales;356.895.872.821
411280100;Préstamos comerciales;293.578.750.167
411280101;Préstamos en el país;281.261.960.993
411280102;Préstamos en el exterior;1.222.606.872
411280103;Créditos para infraestructura escolar Ley N° 20.845;0
411280104;Préstamos con letras de crédito para fines generales;2.492.413
411280105;Préstamos con mutuos hipotecarios endosables para fines generales;3.604.657.164
411280106;Préstamos con mutuos hipotecarios no endosables para fines generales;7.487.032.725
411280200;Créditos de comercio exterior;22.204.126.061
411280201;Acreditivos negociados a plazo de exportaciones chilenas;0
411280202;Otros créditos para exportaciones chilenas;12.568.220.035
411280203;Acreditivos negociados a plazo de importaciones chilenas;156.612.533
411280204;Otros créditos para importaciones chilenas;9.252.679.571
411280205;Acreditivos negociados a plazo de operaciones entre terceros países;8.168.915
411280209;Otros créditos para operaciones entre terceros países;218.445.007
411280300;Deudores en cuentas corrientes;3.669.229.884
411280400;Deudores por tarjetas de crédito;376.013.660
411280500;Operaciones de factoraje;15.327.086.158
411280501;Factoring con responsabilidad;14.004.876.712
411280502;Factoring sin responsabilidad;1.322.209.446
411280600;Operaciones de leasing financiero comercial;21.313.640.855
411280601;Leasing por bienes inmobiliarios;20.951.004.226
411280602;Leasing por bienes no inmobiliarios;362.636.629
411280700;Préstamos estudiantiles;388.952.225
411280701;Créditos para estudios superiores Ley N° 20.027;0
411280702;Créditos con garantía CORFO;0
411280709;Otros créditos para estudios superiores;388.952.225
411280900;Otros créditos y cuentas por cobrar;38.073.811
411280901;Deudores por pago de obligaciones avaladas;0
411280902;Deudores por boletas de garantía pagadas;0
411280990;Otras cuentas por cobrar;38.073.811
411350000;Colocaciones para vivienda;37.718.816.722
411350100;Préstamos con letras de crédito para vivienda;4.020.317
411350200;Préstamos con mutuos hipotecarios endosable;37.591.621.232
411350300;Préstamos con mutuos financiados con bonos hipotecarios;0
411350400;Otros créditos con mutuos para vivienda;113.824.806
411350401;Otros créditos con mutuos no endosables para vivienda;113.824.806
411350402;Otros créditos con mutuos para vivienda;0
411350500;Operaciones de leasing financiero para vivienda;4.350.684
411350900;Otros créditos y cuentas por cobrar;4.999.683
411350901;Créditos complementarios a los mutuos;4.999.683
411350902;Créditos de enlace;0
411350903;Créditos provenientes de la ANAP;0
411350990;Cuentas por cobrar a deudores para vivienda;0
411380000;Colocaciones de consumo;20.257.234.265
411380100;Créditos de consumo en cuotas;12.068.946.283
411380200;Deudores en cuentas corrientes;3.412.492.699
411380300;Deudores por tarjetas de crédito;4.771.739.703
411380400;Operaciones de leasing financiero de consumo;4.055.580
411380900;Otros créditos y cuentas por cobrar;0
411380901;Créditos de consumo rotativos;0
411380990;Cuentas por cobrar a deudores de consumo;0
411450000;Otros instrumentos financieros;15.688.614.881
411450100;Depósitos en el Banco Central de Chile;11.313.426.389
411450101;Depósitos en cuenta corriente;0
411450102;Depósitos overnight;0
411450109;Otros depósitos disponibles;11.313.426.389
411450200;Depósitos en Bancos Centrales del exterior;0
411450201;Depósitos en cuenta corriente;0
411450202;Depósitos overnight;0
411450209;Otros depósitos disponibles;0
411450300;Depósitos en bancos del país;0
411450400;Depósitos en bancos del exterior;3.545.907.377
411450900;Otros intereses ganados;829.281.115
411700000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;49.987.746.260
411720000;Instrumentos financieros de deuda;49.987.746.260
411720100;Del Estado y Banco Central de Chile;34.705.080.102
411720101;Instrumentos financieros de deuda del Banco Central de Chile;30.528.760.820
411720102;Bonos y pagarés de la Tesorería General de la República;4.176.319.282
411720109;Otros instrumentos financieros de deuda fiscales;0
411720200;Otros instrumentos financieros de deuda emitidos en el país;7.369.670.582
411720201;Instrumentos financieros de deuda de otros bancos del país;6.140.211.933
411720202;Bonos y efectos de comercio de empresas del país;232.512.286
411720209;Otros instrumentos financieros de deuda emitidos en el país;996.946.363
411720300;Instrumentos financieros de deuda emitidos en el exterior;7.912.995.576
411720301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411720302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
411720303;Instrumentos financieros de deuda de otros bancos en el exterior;7.912.995.576
411720304;Bonos y efectos de comercio de empresas en el exterior;0
411720309;Otros instrumentos financieros de deuda emitidos en el exterior;0
411740000;Otros instrumentos financieros;0
411740100;Créditos originados y adquiridos por la entidad;0
411740101;Adeudado por bancos;0
411740102;Colocaciones comerciales;0
411740103;Colocaciones para vivienda;0
411740104;Colocaciones de consumo;0
411740200;Otros;0
411800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;-21.566.344.512
411800100;Utilidad por contratos de derivados financieros para cobertura contable;2.981.512.570
411800200;Pérdida por contratos de derivados financieros para cobertura contable;-20.893.432.190
411800300;Resultados por ajuste de activos financieros cubiertos;-3.654.424.892
412000000;GASTOS POR INTERESES;-378.459.311.339
412100000;PASIVOS FINANCIEROS A COSTO AMORTIZADO;-365.110.122.097
412150000;Depósitos y otras obligaciones a la vista;0
412150100;Cuentas corrientes;0
412150101;Cuentas corrientes de bancos del país;0
412150102;Cuentas corrientes de bancos del exterior;0
412150103;Cuentas corrientes de otras personas jurídicas;0
412150104;Cuentas corrientes de personas naturales;0
412150200;Cuentas de depósito a la vista;0
412150201;Cuentas de ahorro a la vista;0
412150202;Cuentas a la vista;0
412150300;Otros depósitos a la vista;0
412150500;Otras obligaciones a la vista;0
412180000;Depósitos y otras captaciones a plazo;-304.160.196.009
412180100;Depósitos a plazo;-303.606.838.776
412180200;Cuentas de ahorro a plazo;-26.416.021
412180201;Cuentas de ahorro a plazo con giro diferido;0
412180202;Cuentas de ahorro a plazo con giro incondicional;-26.416.021
412180300;Otros saldos acreedores a plazo;-526.941.212
412180301;Boletas de garantías pagaderas con 30 días de aviso;0
412180302;Depósitos en cuentas ¿overnight¿;0
412180390;Otros;-526.941.212
412250000;Obligaciones por pactos de retrocompra y préstamos de valores;-1.027.699.402
412250100;Operaciones con bancos del país;-136.722.328
412250101;Contratos de retrocompra con otros bancos;-136.722.328
412250102;Contratos de retrocompra con Banco Central de Chile;0
412250103;Obligaciones por préstamos de valores;0
412250200;Operaciones con bancos del exterior;0
412250201;Contratos de retrocompra con otros bancos;0
412250202;Contratos de retrocompra con Bancos Centrales del exterior;0
412250203;Obligaciones por préstamos de valores;0
412250300;Operaciones con otras entidades en el país;-890.977.074
