Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;10.000.355;8.812.114;16.318;9.267.705;28.096.492
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;221.037;0;0;742.993;964.030
1100100;Efectivo;171.764;0;0;83.060;254.824
1100200;Depósitos en el Banco Central de Chile;40.897;0;0;12.290;53.187
1100300;Depósitos en bancos del país;8.204;0;0;1.185;9.389
1100400;Depósitos en el exterior;172;0;0;646.458;646.630
1130000;OPERACIONES CON LIQUIDACION EN CURSO;124.414;0;0;32.603;157.017
1130100;Documentos a cargo de otros bancos (canje);58.654;0;0;8.342;66.996
1130200;Transferencias de fondos en curso;65.760;0;0;24.261;90.021
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;25.652;0;0;389.409;415.061
1150100;Del Estado y Banco Central de Chile;7.126;0;0;0;7.126
1150200;Otros instrumentos emitidos en el país;5;0;0;0;5
1150300;Instrumentos emitidos en el exterior;0;0;0;389.409;389.409
1150400;Inversiones en Fondos Mutuos;18.521;0;0;0;18.521
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;2.074;0;0;26.450;28.524
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;2.074;0;0;26.450;28.524
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;967.831;70.174;0;210.770;1.248.775
1250100;Contratos de negociación;920.826;70.174;0;206.366;1.197.366
1250200;Contratos para cobertura contable;47.005;0;0;4.404;51.409
1270000;ADEUDADO POR BANCOS;33.928;0;0;36.149;70.077
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;-76;0;0;36.149;36.073
1270202;Préstamos interbancarios de liquidez;0;0;0;862;862
1270203;Préstamos interbancarios comerciales;0;0;0;13.875;13.875
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270290;Provisiones para créditos con bancos del exterior;-76;0;0;-132;-208
1270300;Banco Central de Chile;34.004;0;0;0;34.004
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;5.619.895;7.729.557;6.658;6.411.324;19.767.434
1302000;COLOCACIONES COMERCIALES;4.448.816;4.088.322;6.658;5.229.593;13.773.389
1302100;Préstamos comerciales;3.920.511;3.070.477;0;4.125.088;11.116.076
1302101;Préstamos en el país;3.917.510;2.493.597;0;1.090.577;7.501.684
1302102;Préstamos en el exterior;0;0;0;3.034.511;3.034.511
1302170;Préstamos con letras de crédito para fines generales;3.001;10.022;0;0;13.023
1302180;Préstamos con mutuos hipotecarios endosables;0;566.858;0;0;566.858
1302200;Créditos de comercio exterior;91.524;0;23;609.186;700.733
1302201;Acreditivos negociados a plazo de exportaciones chilenas;0;0;0;0;0
1302202;Otros créditos para exportaciones chilenas;76.881;0;0;307.821;384.702
1302241;Acreditivos negociados a plazo de importaciones chilenas;9.910;0;0;180.732;190.642
1302242;Otros créditos para importaciones chilenas;4.733;0;23;115.069;119.825
