
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;196.339;49.449;241;172.479;418.508
4100100;Contratos de retrocompra;657;0;0;2.058;2.715
4100101;Intereses;657;0;0;2.058;2.715
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;1.539;0;0;575;2.114
4100201;Intereses;1.539;0;0;575;2.114
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;112.345;25.492;73;107.337;245.247
4100301;Intereses de préstamos comerciales;81.497;13.403;0;78.142;173.042
4100309;Intereses de créditos de comercio exterior;1.926;0;0;10.907;12.833
4100310;Intereses de créditos en cuentas corrientes;6.513;0;0;1.005;7.518
4100320;Intereses de operaciones de factoraje;949;0;0;734;1.683
4100325;Intereses de préstamos estudiantiles;4.699;2.076;0;0;6.775
4100330;Intereses por leasing comercial;5.830;1.594;191;15.254;22.869
4100340;Intereses de otros créditos y cuentas por cobrar;5;0;0;1.288;1.293
4100351;Reajustes de préstamos comerciales;7.606;6.790;0;0;14.396
4100359;Reajustes de créditos de comercio exterior;0;0;0;0;0
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;6;20;0;0;26
4100375;Reajustes de préstamos estudiantiles;1.951;1.082;0;0;3.033
4100380;Reajustes por leasing comercial;985;497;-118;0;1.364
4100390;Reajustes de otros créditos y cuentas por cobrar;1;30;0;0;31
4100399;Comisiones por prepago de créditos comerciales;377;0;0;7;384
4100400;Colocaciones para vivienda;25.087;23.986;0;13.142;62.215
4100401;Intereses de préstamos con letras de crédito;506;113;0;0;619
4100402;Comisiones de préstamos con letras de crédito;247;0;0;0;247
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;1.672;74;0;0;1.746
4100407;Intereses de otros mutuos para vivienda;14.519;15.897;0;6.063;36.479
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;1;0;0;7.079;7.080
4100430;Intereses de otros créditos para vivienda;337;0;0;0;337
4100451;Reajustes de préstamos con letras de crédito;214;67;0;0;281
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;697;28;0;0;725
4100457;Reajustes de otros mutuos para vivienda;6.758;7.807;0;0;14.565
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;0;0;0;0
4100490;Reajustes de otros créditos para vivienda;133;0;0;0;133
4100499;Comisiones por prepago de créditos para vivienda;3;0;0;0;3
4100500;Colocaciones de consumo;48.449;-29;0;40.620;89.040
4100501;Intereses de créditos de consumo en cuotas;27.351;34;0;32.478;59.863
4100510;Intereses de créditos en cuentas corrientes;11.789;0;0;265;12.054
4100520;Intereses de créditos por tarjetas de crédito;8.937;0;0;7.202;16.139
4100530;Intereses por leasing de consumo;18;1;0;464;483
4100540;Intereses de otros créditos de consumo;1;0;0;211;212
4100590;Reajustes colocaciones de consumo;1;-64;0;0;-63
4100599;Comisiones por prepago de créditos de consumo;352;0;0;0;352
4100600;Instrumentos de inversión;8.078;0;0;7.353;15.431
4100601;Intereses de inversiones disponibles para la venta;6.797;0;0;5.688;12.485
4100621;Intereses de inversiones hasta el vencimiento;0;0;0;1.665;1.665
4100651;Reajustes de inversiones disponibles para la venta;1.281;0;0;0;1.281
4100671;Reajustes de inversiones hasta el vencimiento;0;0;0;0;0
4100800;Otros ingresos por intereses o reajustes;616;0;168;1.393;2.177
4100801;Intereses por saldos en cuentas corrientes;0;0;0;0;0
4100804;Intereses operaciones overnight;0;0;168;264;432
4100810;Otros intereses ganados;600;0;0;1.129;1.729
4100850;Otros reajustes ganados;16;0;0;0;16
4100900;Resultado de coberturas contables;-432;0;0;1;-431
4150000;GASTOS POR INTERESES Y REAJUSTES;-100.886;-31.019;0;-109.061;-240.966
4150100;Depósitos a la vista;-1.261;0;0;-18.416;-19.677
4150101;Intereses por cuentas corrientes;-1.223;0;0;-346;-1.569
4150102;Intereses por otros depósitos y cuentas a la vista;0;0;0;-18.070;-18.070
4150103;Intereses por otras obligaciones a la vista;0;0;0;0;0
4150151;Reajustes por obligaciones a la vista;-38;0;0;0;-38
4150200;Contratos de retrocompra;-906;0;0;-7.462;-8.368
4150201;Intereses;-906;0;0;-7.462;-8.368
4150251;Reajustes;0;0;0;0;0
4150300;Depósitos y captaciones a plazo;-59.637;-7.485;0;-55.872;-122.994
4150301;Intereses por depósitos a plazo;-57.276;-5.281;0;-55.317;-117.874
4150302;Intereses por cuentas de ahorro a plazo;-3;0;0;-555;-558
4150309;Intereses de otros saldos acreedores a plazo;0;0;0;0;0
4150351;Reajustes por depósitos a plazo;-2.320;-2.204;0;0;-4.524
4150352;Reajustes por cuentas de ahorro a plazo;-38;0;0;0;-38
4150359;Reajustes de otros saldos acreedores a plazo;0;0;0;0;0
