
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;597.732;369.029;135;40.780;1.007.676
4100100;Contratos de retrocompra;843;0;0;0;843
4100101;Intereses;843;0;0;0;843
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;7.066;0;0;2.695;9.761
4100201;Intereses;7.066;0;0;2.695;9.761
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;245.352;138.685;135;34.618;418.790
4100301;Intereses de préstamos comerciales;166.517;76.282;21;18.898;261.718
4100309;Intereses de créditos de comercio exterior;3.743;42;114;14.591;18.490
4100310;Intereses de créditos en cuentas corrientes;17.667;0;0;38;17.705
4100320;Intereses de operaciones de factoraje;12.292;48;0;1.091;13.431
4100325;Intereses de préstamos estudiantiles;0;1.027;0;0;1.027
4100330;Intereses por leasing comercial;39.333;0;0;0;39.333
4100340;Intereses de otros créditos y cuentas por cobrar;2.627;12;0;0;2.639
4100351;Reajustes de préstamos comerciales;0;50.962;0;0;50.962
4100359;Reajustes de créditos de comercio exterior;0;81;0;0;81
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;161;0;0;161
4100375;Reajustes de préstamos estudiantiles;0;520;0;0;520
4100380;Reajustes por leasing comercial;0;9.444;0;0;9.444
4100390;Reajustes de otros créditos y cuentas por cobrar;0;6;0;0;6
4100399;Comisiones por prepago de créditos comerciales;3.173;100;0;0;3.273
4100400;Colocaciones para vivienda;2.178;221.118;0;0;223.296
4100401;Intereses de préstamos con letras de crédito;0;1.027;0;0;1.027
4100402;Comisiones de préstamos con letras de crédito;509;0;0;0;509
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;2;1.590;0;0;1.592
4100407;Intereses de otros mutuos para vivienda;154;134.329;0;0;134.483
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;0;0;0;0
4100430;Intereses de otros créditos para vivienda;0;125;0;0;125
4100451;Reajustes de préstamos con letras de crédito;0;483;0;0;483
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;772;0;0;772
4100457;Reajustes de otros mutuos para vivienda;0;82.705;0;0;82.705
