
Código Contable;Descripción;Total (suma de todas las monedas)
 
411000000;INGRESOS POR INTERESES;2.367.842.806.730
411100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;2.130.971.520.083
411150000;Derechos por pactos de retroventa y prestamos de valores;4.278.997.978
411150100;Operaciones con bancos del país;0
411150101;Contratos de retroventa con otros bancos;0
411150102;Contratos de retroventa con Banco Central de Chile;0
411150103;Derechos por préstamos de valores;0
411150200;Operaciones con bancos del exterior;0
411150201;Contratos de retroventa con otros bancos;0
411150202;Contratos de retroventa con Bancos Centrales del exterior;0
411150203;Derechos por préstamos de valores;0
411150300;Operaciones con otras entidades en el país;4.278.997.978
411150301;Contratos de retroventa;4.278.997.978
411150302;Derechos por préstamos de valores;0
411150400;Operaciones con otras entidades en el exterior;0
411150401;Contratos de retroventa;0
411150402;Derechos por préstamos de valores;0
411200000;Instrumentos financieros de deuda;10.571.993.078
411200100;Del Estado y Banco Central de Chile;10.571.993.078
411200101;Instrumentos financieros de deuda del Banco Central de Chile;0
411200102;Bonos y pagarés de la Tesorería General de la República;10.571.993.078
411200109;Otros instrumentos financieros de deuda fiscales;0
411200200;Otros instrumentos financieros de deuda emitidos en el país;0
411200201;Instrumentos financieros de deuda de otros bancos del país;0
411200202;Bonos y efectos de comercio de empresas del país;0
411200209;Otros instrumentos financieros de deuda emitidos en el país;0
411200300;Instrumentos financieros de deuda emitidos en el exterior;0
411200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411200302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
411200303;Instrumentos financieros de deuda de otros bancos en el exterior;0
411200304;Bonos y efectos de comercio de empresas en el exterior;0
411200309;Otros instrumentos financieros de deuda emitidos en el exterior;0
411250000;Adeudado por bancos;121.992.123.965
411250100;Bancos del país;1.453.892.651
411250101;Préstamos interbancarios de liquidez;1.453.749.999
411250102;Préstamos interbancarios comerciales;0
411250103;Sobregiros en cuentas corrientes;142.652
411250104;Créditos comercio exterior exportaciones chilenas;0
411250105;Créditos comercio exterior importaciones chilenas;0
411250106;Créditos comercio exterior entre terceros países;0
411250107;Depósitos no transferibles en bancos del país;0
411250190;Otras acreencias con bancos del país;0
411250200;Bancos del exterior;7.859.103.685
411250201;Préstamos interbancarios de liquidez;0
411250202;Préstamos interbancarios comerciales;7.223.737.550
411250203;Sobregiros en cuentas corrientes;0
411250204;Créditos comercio exterior exportaciones chilenas;633.849.885
411250205;Créditos comercio exterior importaciones chilenas;0
411250206;Créditos comercio exterior entre terceros países;1.516.250
411250207;Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados;0
411250208;Otros depósitos no transferibles en bancos del exterior;0
411250290;Otras acreencias con bancos del exterior;0
411250300;Banco Central de Chile;112.679.127.629
411250301;Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER;0
411250302;Otros depósitos en el Banco Central de Chile no disponibles;112.679.127.629
411250309;Otras acreencias con el Banco Central de Chile;0
411250400;Bancos Centrales del exterior;0
411250401;Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados;0
411250402;Otros depósitos en Bancos Centrales del exterior no disponibles;0
411250409;Otras acreencias con Bancos Centrales del exterior;0
411280000;Colocaciones comerciales;1.099.393.693.366
411280100;Préstamos comerciales;821.400.378.715
411280101;Préstamos en el país;745.231.860.740
411280102;Préstamos en el exterior;553.258.848
411280103;Créditos para infraestructura escolar Ley N° 20.845;0
411280104;Préstamos con letras de crédito para fines generales;16.786.290
411280105;Préstamos con mutuos hipotecarios endosables para fines generales;34.993.763
411280106;Préstamos con mutuos hipotecarios no endosables para fines generales;75.563.479.074
411280200;Créditos de comercio exterior;93.335.769.547
411280201;Acreditivos negociados a plazo de exportaciones chilenas;0
411280202;Otros créditos para exportaciones chilenas;61.376.121.372
411280203;Acreditivos negociados a plazo de importaciones chilenas;260.090.531
411280204;Otros créditos para importaciones chilenas;31.698.487.991
411280205;Acreditivos negociados a plazo de operaciones entre terceros países;0
411280209;Otros créditos para operaciones entre terceros países;1.069.653
411280300;Deudores en cuentas corrientes;36.865.112.092
411280400;Deudores por tarjetas de crédito;7.597.702.856
411280500;Operaciones de factoraje;49.079.127.829
411280501;Factoring con responsabilidad;26.490.779.792
411280502;Factoring sin responsabilidad;22.588.348.037
411280600;Operaciones de leasing financiero comercial;88.878.412.775
411280601;Leasing por bienes inmobiliarios;28.647.654.401
411280602;Leasing por bienes no inmobiliarios;60.230.758.374
411280700;Préstamos estudiantiles;2.036.707.227
411280701;Créditos para estudios superiores Ley N° 20.027;0
411280702;Créditos con garantía CORFO;1.243.519
411280709;Otros créditos para estudios superiores;2.035.463.708
411280900;Otros créditos y cuentas por cobrar;200.482.325
411280901;Deudores por pago de obligaciones avaladas;0
411280902;Deudores por boletas de garantía pagadas;200.482.325
411280990;Otras cuentas por cobrar;0
411350000;Colocaciones para vivienda;271.835.204.492
411350100;Préstamos con letras de crédito para vivienda;105.360.210
411350200;Préstamos con mutuos hipotecarios endosable;448.648.642
411350300;Préstamos con mutuos financiados con bonos hipotecarios;0
411350400;Otros créditos con mutuos para vivienda;268.675.443.416
411350401;Otros créditos con mutuos no endosables para vivienda;0
411350402;Otros créditos con mutuos para vivienda;268.675.443.416
411350500;Operaciones de leasing financiero para vivienda;0
411350900;Otros créditos y cuentas por cobrar;2.605.752.224
411350901;Créditos complementarios a los mutuos;2.249.322.885
411350902;Créditos de enlace;356.429.339
411350903;Créditos provenientes de la ANAP;0
411350990;Cuentas por cobrar a deudores para vivienda;0
411380000;Colocaciones de consumo;578.756.136.800
411380100;Créditos de consumo en cuotas;333.354.123.423
411380200;Deudores en cuentas corrientes;75.761.383.181
411380300;Deudores por tarjetas de crédito;169.597.242.440
411380400;Operaciones de leasing financiero de consumo;43.379.983
411380900;Otros créditos y cuentas por cobrar;7.773
411380901;Créditos de consumo rotativos;0
411380990;Cuentas por cobrar a deudores de consumo;7.773
411450000;Otros instrumentos financieros;44.143.370.404
411450100;Depósitos en el Banco Central de Chile;0
411450101;Depósitos en cuenta corriente;0
411450102;Depósitos overnight;0
411450109;Otros depósitos disponibles;0
411450200;Depósitos en Bancos Centrales del exterior;0
411450201;Depósitos en cuenta corriente;0
411450202;Depósitos overnight;0
411450209;Otros depósitos disponibles;0
411450300;Depósitos en bancos del país;0
411450400;Depósitos en bancos del exterior;32.248.178.504
411450900;Otros intereses ganados;11.895.191.900
411700000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;263.200.570.265
411720000;Instrumentos financieros de deuda;263.200.570.265
411720100;Del Estado y Banco Central de Chile;155.030.269.016
411720101;Instrumentos financieros de deuda del Banco Central de Chile;4.714.727.226
411720102;Bonos y pagarés de la Tesorería General de la República;150.227.903.186
411720109;Otros instrumentos financieros de deuda fiscales;87.638.604
411720200;Otros instrumentos financieros de deuda emitidos en el país;102.605.428.720
411720201;Instrumentos financieros de deuda de otros bancos del país;100.909.384.619
411720202;Bonos y efectos de comercio de empresas del país;1.696.044.101
411720209;Otros instrumentos financieros de deuda emitidos en el país;0
411720300;Instrumentos financieros de deuda emitidos en el exterior;5.564.872.529
411720301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411720302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;1.525.304.736
411720303;Instrumentos financieros de deuda de otros bancos en el exterior;4.039.567.793
411720304;Bonos y efectos de comercio de empresas en el exterior;0
411720309;Otros instrumentos financieros de deuda emitidos en el exterior;0
411740000;Otros instrumentos financieros;0
411740100;Créditos originados y adquiridos por la entidad;0
411740101;Adeudado por bancos;0
411740102;Colocaciones comerciales;0
411740103;Colocaciones para vivienda;0
411740104;Colocaciones de consumo;0
411740200;Otros;0
411800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;-26.329.283.618
411800100;Utilidad por contratos de derivados financieros para cobertura contable;88.585.375.201
411800200;Pérdida por contratos de derivados financieros para cobertura contable;-114.914.658.819
411800300;Resultados por ajuste de activos financieros cubiertos;0
412000000;GASTOS POR INTERESES;-1.255.198.167.056
412100000;PASIVOS FINANCIEROS A COSTO AMORTIZADO;-1.259.310.529.973
412150000;Depósitos y otras obligaciones a la vista;-966.507.941
412150100;Cuentas corrientes;-401.016.156
412150101;Cuentas corrientes de bancos del país;0
412150102;Cuentas corrientes de bancos del exterior;0
412150103;Cuentas corrientes de otras personas jurídicas;-380.200.020
412150104;Cuentas corrientes de personas naturales;-20.816.136
412150200;Cuentas de depósito a la vista;0
412150201;Cuentas de ahorro a la vista;0
412150202;Cuentas a la vista;0
412150300;Otros depósitos a la vista;0
412150500;Otras obligaciones a la vista;-565.491.785
412180000;Depósitos y otras captaciones a plazo;-1.014.988.885.332
412180100;Depósitos a plazo;-1.006.709.686.504
412180200;Cuentas de ahorro a plazo;-338.955.210
412180201;Cuentas de ahorro a plazo con giro diferido;-178.349.312
412180202;Cuentas de ahorro a plazo con giro incondicional;-160.605.898
412180300;Otros saldos acreedores a plazo;-7.940.243.618
412180301;Boletas de garantías pagaderas con 30 días de aviso;0
412180302;Depósitos en cuentas ¿overnight¿;0
412180390;Otros;-7.940.243.618
412250000;Obligaciones por pactos de retrocompra y préstamos de valores;-11.639.917.725
412250100;Operaciones con bancos del país;-74.536.538
412250101;Contratos de retrocompra con otros bancos;0
412250102;Contratos de retrocompra con Banco Central de Chile;-74.536.538
412250103;Obligaciones por préstamos de valores;0
412250200;Operaciones con bancos del exterior;0
412250201;Contratos de retrocompra con otros bancos;0
412250202;Contratos de retrocompra con Bancos Centrales del exterior;0
412250203;Obligaciones por préstamos de valores;0
412250300;Operaciones con otras entidades en el país;-11.565.381.187
412250301;Contratos de retrocompra;-11.565.381.187
412250302;Obligaciones por préstamos de valores;0
412250400;Operaciones con otras entidades en el exterior;0
412250401;Contratos de retrocompra;0
412250402;Obligaciones por préstamos de valores;0
412280000;Obligaciones con bancos;-44.647.569.783
412280100;Bancos del país;-1.196.712.187
412280110;Financiamientos de comercio exterior;0
412280111;Financiamientos para exportaciones chilenas;0
412280112;Financiamientos para importaciones chilenas;0
412280113;Obligaciones por operaciones entre terceros países;0
412280120;Préstamos y otras obligaciones;-1.196.712.187
412280121;Préstamos interbancarios de liquidez;-65.840.837
412280122;Préstamos interbancarios comerciales;-875.707.470
412280123;Sobregiros en cuentas corrientes;-184.930.105
412280124;Depósitos a plazo no transferibles;0
412280129;Otras obligaciones;-70.233.775
412280200;Bancos del exterior;-26.963.174.262
412280210;Financiamientos de comercio exterior;-21.485.915.473
412280211;Financiamientos para exportaciones chilenas;-21.485.915.473
412280212;Financiamientos para importaciones chilenas;0
412280213;Obligaciones por operaciones entre terceros países;0
412280220;Préstamos y otras obligaciones;-5.477.258.789
412280221;Préstamos interbancarios de liquidez;0
412280222;Préstamos interbancarios comerciales;-5.432.131.692
412280223;Sobregiros en cuentas corrientes;-45.127.097
412280224;Depósitos a plazo no transferibles;0
412280229;Otras obligaciones;0
412280300;Banco Central de Chile;-16.487.683.334
412280301;Préstamos y otras obligaciones;-16.487.683.334
412280302;Líneas de crédito por reprogramación de deudas;0
412280400;Bancos Centrales del exterior;0
412280401;Préstamos y otras obligaciones;0
412280402;Líneas de crédito por reprogramación de deudas;0
412350000;Instrumentos financieros de deuda emitidos;-187.065.907.605
412350100;Letras de Créditos;-54.254.707
412350101;Letras de crédito para vivienda;-38.911.734
412350102;Letras de crédito para fines generales;-15.342.973
412350200;Bonos;-187.011.652.898
412350201;Bonos corrientes;-187.011.652.898
412350203;Bonos hipotecarios;0
412380000;Otras obligaciones financieras;-1.741.587
412380100;Obligaciones con el sector público;-1.741.587
412380101;Financiamientos de CORFO;-1.741.587
412380102;Obligaciones con otros organismos gubernamentales;0
412380200;Otras obligaciones en el país;0
412380201;Adeudado a establecimientos afiliados por el uso de tarjetas de crédito;0
412380202;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas nominativas;0
412380203;Adeudado a establecimientos afiliados por el uso de tarjetas de pago con provisión de fondos tarjetas innominadas;0
412380204;Adeudado a operadores por servicios de operación de tarjetas de crédito;0
412380205;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos nominativas;0
412380206;Adeudado a operadores por servicios de operación de tarjetas de pago con provisión de fondos innominadas;0
412380207;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
412380208;Obligaciones a favor de exportadores chilenos;0
412380290;Otros créditos obtenidos en el país;0
412380300;Obligaciones con el exterior;0
412380301;Adeudado a establecimientos afiliados por el uso de tarjetas;0
412380302;"               Adeudado a operadores por servicios de operación de tarjetas (débito, crédito, pago con provisión de fondos)";0
412380303;"               Adeudado a licenciante de marcas de tarjetas (débito, crédito, pago con provisión de fondos)";0
412380304;Obligaciones a favor de exportadores extranjeros;0
412380305;Adeudado a organismos internacionales;0
412380306;Otros créditos obtenidos en el exterior;0
412450000;OBLIGACIONES POR CONTRATOS DE ARRENDAMIENTO;-1.334.901.535
412500000;INSTRUMENTOS FINANCIEROS DE CAPITAL REGULATORIO EMITIDOS;-26.317.564.414
412500100;Bonos subordinados;-26.317.564.414
412800000;RESULTADO DE COBERTURAS CONTABLES DEL RIESGO DE TASAS DE INTERÉS;31.764.828.866
412800100;Utilidad por contratos de derivados financieros para cobertura contable;131.814.276.405
412800200;Pérdida por contratos de derivados financieros para cobertura contable;-100.049.447.539
412800300;Resultados por ajuste de pasivos financieros cubiertos;0
415000000;"INGRESOS POR REAJUSTES DE LA U.F., IVP, IPC";535.452.745.816
415100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;577.726.591.492
415150000;Derechos por pactos de retroventa y prestamos de valores;0
415150100;Operaciones con bancos del país;0
415150101;Contratos de retroventa con otros bancos;0
415150102;Contratos de retroventa con Banco Central de Chile;0
415150103;Derechos por préstamos de valores;0
415150200;Operaciones con bancos del exterior;0
415150201;Contratos de retroventa con otros bancos;0
415150202;Contratos de retroventa con Bancos Centrales del exterior;0
415150203;Derechos por préstamos de valores;0
415150300;Operaciones con otras entidades en el país;0
415150301;Contratos de retroventa;0
415150302;Derechos por préstamos de valores;0
415150400;Operaciones con otras entidades en el exterior;0
415150401;Contratos de retroventa;0
415150402;Derechos por préstamos de valores;0
415200000;Instrumentos financieros de deuda;17.753.345.422
415200100;Del Estado y Banco Central de Chile;17.753.345.422
415200101;Instrumentos financieros de deuda del Banco Central de Chile;0
415200102;Bonos y pagarés de la Tesorería General de la República;17.753.345.422
415200109;Otros instrumentos financieros de deuda fiscales;0
415200200;Otros instrumentos financieros de deuda emitidos en el país;0
415200201;Instrumentos financieros de deuda de otros bancos del país;0
415200202;Bonos y efectos de comercio de empresas del país;0
415200209;Otros instrumentos financieros de deuda emitidos en el país;0
415200300;Instrumentos financieros de deuda emitidos en el exterior;0
415200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
