Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

100000000;TOTAL ACTIVOS;15.926.060.264.854;11.362.458.000.363;235.710.745;13.072.215.603.429;40.360.969.579.391
105000000;EFECTIVO Y DEPÓSITOS EN BANCOS;756.310.341.507;0;0;899.536.053.746;1.655.846.395.253
105000100;Efectivo;328.123.869.572;0;0;92.428.472.832;420.552.342.404
105000101;Efectivo en oficinas;136.609.515.795;0;0;83.515.401.442;220.124.917.237
105000102;Efectivo en empresas transportadoras de valores;191.514.353.777;0;0;8.913.071.390;200.427.425.167
105000103;Efectivo en custodia en otras entidades financieras;0;0;0;0;0
105000200;Depósitos en el Banco Central de Chile;408.528.354.957;0;0;16.000.026.212;424.528.381.169
105000201;Depósitos en cuenta corriente;30.528.354.957;0;0;16.000.026.212;46.528.381.169
105000202;Depósitos overnight;378.000.000.000;0;0;0;378.000.000.000
105000209;Otros depósitos disponibles;0;0;0;0;0
105000300;Depósitos en Bancos Centrales del exterior;0;0;0;445.968.595.899;445.968.595.899
105000301;Depósitos en cuenta corriente;0;0;0;445.968.595.899;445.968.595.899
105000302;Depósitos overnight;0;0;0;0;0
105000309;Otros depósitos disponibles;0;0;0;0;0
105000400;Depósitos en bancos del país;19.639.866.612;0;0;0;19.639.866.612
105000500;Depósitos en bancos del exterior;18.250.366;0;0;345.138.958.803;345.157.209.169
107000000;OPERACIONES CON LIQUIDACION EN CURSO;268.948.287.662;0;0;409.079.282.909;678.027.570.571
107000100;Documentos a cargo de otros bancos (canje);35.254.689.350;0;0;11.586.887.171;46.841.576.521
107000101;Canje no deducible;0;0;0;57.541.934;57.541.934
107000102;Canje de la plaza;35.066.966.700;0;0;2.246.086.730;37.313.053.430
107000103;Canje de otras plazas;187.722.650;0;0;9.283.258.507;9.470.981.157
107000200;Transferencias de fondos en curso con una contraparte central;12.607.480.000;0;0;0;12.607.480.000
107000201;Fondos pendientes de transferencia por operaciones en la cámara de swaps;0;0;0;0;0
107000202;Fondos pendientes de transferencia por operaciones en la cámara de forwards;12.607.480.000;0;0;0;12.607.480.000
107000300;Transferencias de fondos en curso a través de una cámara de compensación de alto valor;14.124.104.876;0;0;0;14.124.104.876
107000400;Otras transferencias de fondos en curso con Bancos u Otros;206.962.013.436;0;0;397.492.395.738;604.454.409.174
107000401;Pagos de contrapartes por liquidar - Bancos;143.942.955.244;0;0;553.588;143.943.508.832
107000409;Divisas pendientes de transferencia - Bancos;0;0;0;264.293.872.365;264.293.872.365
107000411;Pagos de contrapartes por liquidar - Otros;63.019.058.192;0;0;1.648.662.472;64.667.720.664
107000419;Divisas pendientes de transferencia - Otros;0;0;0;131.549.307.313;131.549.307.313
110000000;ACTIVOS FINANCIEROS PARA NEGOCIAR A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS;3.295.995.636.561;90.995.538.182;0;980.812.981.429;4.367.804.156.172
111000100;Contratos de derivados financieros;3.067.041.909.691;90.995.538.182;0;564.550.220.021;3.722.587.667.894
111000101;Forwards;669.063.557.139;0;0;30.577.166.701;699.640.723.840
111000102;Swaps;2.396.570.665.714;90.995.538.182;0;533.942.255.591;3.021.508.459.487
111000103;Opciones Call;1.407.686.838;0;0;30.797.729;1.438.484.567
111000104;Opciones Put;0;0;0;0;0
111000105;Futuros;0;0;0;0;0
111000109;Otros;0;0;0;0;0
112000000;Instrumentos financieros de deuda;177.371.942.497;0;0;405.732.908.391;583.104.850.888
112000100;Del Estado y Banco Central de Chile;177.240.332.748;0;0;0;177.240.332.748
112000101;Instrumentos financieros de deuda del Banco Central de Chile;120.438.099.945;0;0;0;120.438.099.945
112000102;Bonos y pagarés de la Tesorería General de la República;56.802.232.803;0;0;0;56.802.232.803
112000109;Otros instrumentos financieros de deuda fiscales;0;0;0;0;0
112000200;Otros instrumentos financieros de deuda emitidos en el país;131.609.749;0;0;0;131.609.749
112000201;Instrumentos financieros de deuda de otros bancos del país;109.260;0;0;0;109.260
112000202;Bonos y efectos de comercio de empresas del país;131.500.489;0;0;0;131.500.489
112000209;Otros instrumentos financieros de deuda emitidos en el país;0;0;0;0;0
112000300;Instrumentos financieros de deuda emitidos en el exterior;0;0;0;405.732.908.391;405.732.908.391
112000301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0;0;0;215.842.218.817;215.842.218.817
112000302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0;0;0;0;0
112000303;Instrumentos financieros de deuda de otros bancos en el exterior;0;0;0;0;0
112000304;Bonos y efectos de comercio de empresas en el exterior;0;0;0;0;0
112000309;Otros instrumentos financieros de deuda emitidos en el exterior;0;0;0;189.890.689.574;189.890.689.574
113000000;Otros instrumentos financieros;51.581.784.373;0;0;10.529.853.017;62.111.637.390
113000100;Inversiones en Fondos Mutuos;51.581.784.373;0;0;10.529.853.017;62.111.637.390
113000101;Fondos mutuos administrados por sociedades relacionadas;50.966.784.373;0;0;0;50.966.784.373
113000102;Fondos mutuos administrados por terceros;615.000.000;0;0;10.529.853.017;11.144.853.017
113000200;Instrumentos de patrimonio;0;0;0;0;0
113000201;Instrumentos de patrimonio en el país;0;0;0;0;0
113000202;Instrumentos de patrimonio en el exterior;0;0;0;0;0
