
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;93.538;164.394;0;107.162;365.094
4100100;Contratos de retrocompra;317;0;0;114;431
4100101;Intereses;317;0;0;114;431
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;16;0;0;61;77
4100201;Intereses;16;0;0;61;77
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;56.762;71.695;0;60.929;189.386
4100301;Intereses de préstamos comerciales;47.040;15.591;0;46.295;108.926
4100309;Intereses de créditos de comercio exterior;785;0;0;6.156;6.941
4100310;Intereses de créditos en cuentas corrientes;2.617;1;0;190;2.808
4100320;Intereses de operaciones de factoraje;1.107;21;0;473;1.601
4100325;Intereses de préstamos estudiantiles;0;6.968;0;0;6.968
4100330;Intereses por leasing comercial;2.943;2.264;0;7.339;12.546
4100340;Intereses de otros créditos y cuentas por cobrar;45;1;0;444;490
4100351;Reajustes de préstamos comerciales;1;36.675;0;0;36.676
4100359;Reajustes de créditos de comercio exterior;0;0;0;0;0
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;3;0;0;3
4100375;Reajustes de préstamos estudiantiles;0;7.040;0;0;7.040
4100380;Reajustes por leasing comercial;0;3.028;0;0;3.028
4100390;Reajustes de otros créditos y cuentas por cobrar;0;0;0;0;0
4100399;Comisiones por prepago de créditos comerciales;2.224;103;0;32;2.359
4100400;Colocaciones para vivienda;3;83.079;0;13.392;96.474
4100401;Intereses de préstamos con letras de crédito;0;255;0;0;255
4100402;Comisiones de préstamos con letras de crédito;0;132;0;0;132
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;0;1.055;0;0;1.055
4100407;Intereses de otros mutuos para vivienda;0;29.561;0;6.539;36.100
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;0;0;6.853;6.853
4100430;Intereses de otros créditos para vivienda;0;209;0;0;209
4100451;Reajustes de préstamos con letras de crédito;0;242;0;0;242
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;990;0;0;990
4100457;Reajustes de otros mutuos para vivienda;3;49.658;0;0;49.661
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;0;0;0;0
4100490;Reajustes de otros créditos para vivienda;0;788;0;0;788
4100499;Comisiones por prepago de créditos para vivienda;0;189;0;0;189
4100500;Colocaciones de consumo;50.474;92;0;24.277;74.843
4100501;Intereses de créditos de consumo en cuotas;33.953;45;0;19.548;53.546
4100510;Intereses de créditos en cuentas corrientes;6.660;0;0;79;6.739
4100520;Intereses de créditos por tarjetas de crédito;9.363;0;0;4.609;13.972
4100530;Intereses por leasing de consumo;5;0;0;29;34
4100540;Intereses de otros créditos de consumo;0;0;0;12;12
4100590;Reajustes colocaciones de consumo;0;47;0;0;47
4100599;Comisiones por prepago de créditos de consumo;493;0;0;0;493
4100600;Instrumentos de inversión;2.314;9.190;0;7.948;19.452
4100601;Intereses de inversiones disponibles para la venta;2.314;0;0;717;3.031
4100621;Intereses de inversiones hasta el vencimiento;0;0;0;7.231;7.231
4100651;Reajustes de inversiones disponibles para la venta;0;9.190;0;0;9.190
4100671;Reajustes de inversiones hasta el vencimiento;0;0;0;0;0
4100800;Otros ingresos por intereses o reajustes;935;338;0;598;1.871
4100801;Intereses por saldos en cuentas corrientes;0;0;0;0;0
4100804;Intereses operaciones overnight;931;0;0;40;971
4100810;Otros intereses ganados;2;0;0;558;560
4100850;Otros reajustes ganados;2;338;0;0;340
4100900;Resultado de coberturas contables;-17.283;0;0;-157;-17.440
4150000;GASTOS POR INTERESES Y REAJUSTES;-14.402;-88.436;0;-34.422;-137.260
4150100;Depósitos a la vista;-996;-167;0;-6.166;-7.329
4150101;Intereses por cuentas corrientes;-996;0;0;-389;-1.385
4150102;Intereses por otros depósitos y cuentas a la vista;0;0;0;-5.777;-5.777
4150103;Intereses por otras obligaciones a la vista;0;0;0;0;0
4150151;Reajustes por obligaciones a la vista;0;-167;0;0;-167
4150200;Contratos de retrocompra;-144;0;0;-813;-957
4150201;Intereses;-143;0;0;-813;-956
4150251;Reajustes;-1;0;0;0;-1
4150300;Depósitos y captaciones a plazo;-12.988;-7.867;0;-14.196;-35.051
4150301;Intereses por depósitos a plazo;-12.988;-4.602;0;-14.161;-31.751
4150302;Intereses por cuentas de ahorro a plazo;0;0;0;-35;-35
4150309;Intereses de otros saldos acreedores a plazo;0;0;0;0;0
4150351;Reajustes por depósitos a plazo;0;-3.265;0;0;-3.265
4150352;Reajustes por cuentas de ahorro a plazo;0;0;0;0;0
4150359;Reajustes de otros saldos acreedores a plazo;0;0;0;0;0
4150400;Obligaciones con bancos;-2.943;0;0;-3.401;-6.344
4150401;Intereses;-2.943;0;0;-3.401;-6.344
4150451;Reajustes;0;0;0;0;0
4150500;Instrumentos de deuda emitidos;-13.235;-78.392;0;-9.310;-100.937
4150501;Intereses por letras de crédito;0;-53;0;0;-53
4150511;Intereses por bonos corrientes;-13.235;-15.102;0;-9.310;-37.647
4150521;Intereses por bonos subordinados;0;-9.078;0;0;-9.078
4150522;Intereses por bonos hipotecarios;0;0;0;0;0
4150551;Reajustes por letras de crédito;0;-292;0;0;-292
4150561;Reajustes por bonos corrientes;0;-44.510;0;0;-44.510
4150571;Reajustes por bonos subordinados;0;-9.357;0;0;-9.357
4150572;Reajustes por bonos hipotecarios;0;0;0;0;0
4150600;Otras obligaciones financieras;0;0;0;-14;-14
4150601;Intereses;0;0;0;-14;-14
4150651;Reajustes;0;0;0;0;0
4150700;Obligaciones por contratos de arrendamiento;-609;0;0;-512;-1.121
4150701;Intereses;-609;0;0;-512;-1.121
4150751;Reajustes;0;0;0;0;0
4150800;Otros gastos por intereses o reajustes;-4;-2.010;0;-10;-2.024
4150801;Intereses;-4;0;0;-10;-14
4150851;Reajustes;0;-2.010;0;0;-2.010
4150900;Resultado de coberturas contables;16.517;0;0;0;16.517
4200000;INGRESOS POR COMISIONES;35.284;1.045;0;15.831;52.160
4200100;Comisiones por líneas de crédito y sobregiros;470;0;0;162;632
4200200;Comisiones por avales y cartas de crédito;1.891;1.045;0;1.452;4.388
4200300;Comisiones por servicios de tarjetas;10.969;0;0;4.736;15.705
4200303;Tarjetas de cajeros automáticos;1.951;0;0;380;2.331
4200304;Tarjetas de crédito-comisiones a titulares;4.040;0;0;652;4.692
4200305;Tarjetas de crédito-comisiones de establecimientos;3.904;0;0;3.322;7.226
4200306;Tarjetas de débito-comisiones de titulares;1.004;0;0;13;1.017
4200307;Tarjetas de débito-comisiones de establecimientos;70;0;0;0;70
4200309;Otras tarjetas;0;0;0;369;369
4200400;Comisiones por administración de cuentas;2.438;0;0;378;2.816
4200500;Comisiones por cobranzas, recaudaciones y pagos;2.666;0;0;3.086;5.752
4200600;Comisiones por intermediación y manejo de valores;436;0;0;1.328;1.764
4200700;Comisiones por inversiones en fondos mutuos u otros;3.161;0;0;2.222;5.383
4200800;Remuneraciones por comercialización de seguros;7.859;0;0;820;8.679
4200900;Otras comisiones ganadas;5.394;0;0;1.647;7.041
4250000;GASTOS POR COMISIONES;-6.926;0;0;-8.508;-15.434
4250100;Remuneraciones por operación de tarjetas;-5.545;0;0;-6.270;-11.815
4250101;Comisiones por operación de tarjetas de crédito;-2.790;0;0;-5.276;-8.066
4250102;Comisiones por operación de tarjetas de débito y cajeros;-499;0;0;-80;-579
4250190;Otras;-2.256;0;0;-914;-3.170
4250200;Comisiones por operación con valores;-647;0;0;-301;-948
4250300;Otras comisiones;-734;0;0;-1.937;-2.671
