
Código Contable;Descripción;Total (suma de todas las monedas)
 
411000000;INGRESOS POR INTERESES;2.919.864.299.003
411100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;2.435.060.643.207
411150000;Derechos por pactos de retroventa y prestamos de valores;19.414.270.515
411150100;Operaciones con bancos del país;0
411150101;Contratos de retroventa con otros bancos;0
411150102;Contratos de retroventa con Banco Central de Chile;0
411150103;Derechos por préstamos de valores;0
411150200;Operaciones con bancos del exterior;7.599.912.670
411150201;Contratos de retroventa con otros bancos;436.309.655
411150202;Contratos de retroventa con Bancos Centrales del exterior;7.163.603.015
411150203;Derechos por préstamos de valores;0
411150300;Operaciones con otras entidades en el país;9.186.847.563
411150301;Contratos de retroventa;9.186.847.563
411150302;Derechos por préstamos de valores;0
411150400;Operaciones con otras entidades en el exterior;2.627.510.282
411150401;Contratos de retroventa;2.627.510.282
411150402;Derechos por préstamos de valores;0
411200000;Instrumentos financieros de deuda;46.068.606.159
411200100;Del Estado y Banco Central de Chile;4.075.139.969
411200101;Instrumentos financieros de deuda del Banco Central de Chile;2.847.166.666
411200102;Bonos y pagarés de la Tesorería General de la República;1.227.973.303
411200109;Otros instrumentos financieros de deuda fiscales;0
411200200;Otros instrumentos financieros de deuda emitidos en el país;0
411200201;Instrumentos financieros de deuda de otros bancos del país;0
411200202;Bonos y efectos de comercio de empresas del país;0
411200209;Otros instrumentos financieros de deuda emitidos en el país;0
411200300;Instrumentos financieros de deuda emitidos en el exterior;41.993.466.190
411200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411200302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
411200303;Instrumentos financieros de deuda de otros bancos en el exterior;2.506.592.880
411200304;Bonos y efectos de comercio de empresas en el exterior;0
411200309;Otros instrumentos financieros de deuda emitidos en el exterior;39.486.873.310
411250000;Adeudado por bancos;3.341.302.241
411250100;Bancos del país;158.611.110
