Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

100000000;TOTAL ACTIVOS;17.047.359.630.268;12.463.330.831.878;575.850.683;12.484.953.215.549;41.996.219.528.378
105000000;EFECTIVO Y DEPÓSITOS EN BANCOS;650.576.853.036;0;0;1.807.216.309.512;2.457.793.162.548
105000100;Efectivo;121.464.191.336;0;0;105.844.994.004;227.309.185.340
105000101;Efectivo en oficinas;65.482.583.336;0;0;92.136.860.382;157.619.443.718
105000102;Efectivo en empresas transportadoras de valores;55.981.608.000;0;0;13.708.133.622;69.689.741.622
105000103;Efectivo en custodia en otras entidades financieras;0;0;0;0;0
105000200;Depósitos en el Banco Central de Chile;512.957.530.044;0;0;43.918.732.849;556.876.262.893
105000201;Depósitos en cuenta corriente;400.907.752.266;0;0;43.918.732.849;444.826.485.115
105000202;Depósitos overnight;112.049.777.778;0;0;0;112.049.777.778
105000209;Otros depósitos disponibles;0;0;0;0;0
105000300;Depósitos en Bancos Centrales del exterior;0;0;0;1.343.979.972.152;1.343.979.972.152
105000301;Depósitos en cuenta corriente;0;0;0;1.343.979.972.152;1.343.979.972.152
105000302;Depósitos overnight;0;0;0;0;0
105000309;Otros depósitos disponibles;0;0;0;0;0
105000400;Depósitos en bancos del país;16.051.065.142;0;0;0;16.051.065.142
105000500;Depósitos en bancos del exterior;104.066.514;0;0;313.472.610.507;313.576.677.021
107000000;OPERACIONES CON LIQUIDACION EN CURSO;244.346.526.231;0;0;173.012.055.009;417.358.581.240
107000100;Documentos a cargo de otros bancos (canje);21.806.317.952;0;0;5.450.613.807;27.256.931.759
107000101;Canje no deducible;0;0;0;1.833.036;1.833.036
107000102;Canje de la plaza;21.544.469.982;0;0;1.779.386.401;23.323.856.383
107000103;Canje de otras plazas;261.847.970;0;0;3.669.394.370;3.931.242.340
107000200;Transferencias de fondos en curso con una contraparte central;3.750.830.000;0;0;0;3.750.830.000
107000201;Fondos pendientes de transferencia por operaciones en la cámara de swaps;0;0;0;0;0
107000202;Fondos pendientes de transferencia por operaciones en la cámara de forwards;3.750.830.000;0;0;0;3.750.830.000
107000300;Transferencias de fondos en curso a través de una cámara de compensación de alto valor;11.381.590.383;0;0;0;11.381.590.383
107000400;Otras transferencias de fondos en curso con Bancos u Otros;207.407.787.896;0;0;167.561.441.202;374.969.229.098
107000401;Pagos de contrapartes por liquidar - Bancos;176.291.720.616;0;0;524.506;176.292.245.122
107000409;Divisas pendientes de transferencia - Bancos;0;0;0;107.948.837.798;107.948.837.798
107000411;Pagos de contrapartes por liquidar - Otros;31.116.067.280;0;0;82.512.087;31.198.579.367
107000419;Divisas pendientes de transferencia - Otros;0;0;0;59.529.566.811;59.529.566.811
110000000;ACTIVOS FINANCIEROS PARA NEGOCIAR A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS;2.828.509.157.263;0;0;502.858.976.799;3.331.368.134.062
111000100;Contratos de derivados financieros;2.760.925.200.342;0;0;204.235.364.617;2.965.160.564.959
111000101;Forwards;252.047.926.484;0;0;84.181.375.639;336.229.302.123
111000102;Swaps;2.508.228.952.967;0;0;120.045.595.768;2.628.274.548.735
111000103;Opciones Call;611.924.026;0;0;8.393.210;620.317.236
111000104;Opciones Put;36.396.865;0;0;0;36.396.865
111000105;Futuros;0;0;0;0;0
111000109;Otros;0;0;0;0;0
112000000;Instrumentos financieros de deuda;24.388.101.546;0;0;297.267.826.330;321.655.927.876
112000100;Del Estado y Banco Central de Chile;24.306.687.501;0;0;0;24.306.687.501
112000101;Instrumentos financieros de deuda del Banco Central de Chile;22.748.591.707;0;0;0;22.748.591.707
112000102;Bonos y pagarés de la Tesorería General de la República;1.558.095.794;0;0;0;1.558.095.794
112000109;Otros instrumentos financieros de deuda fiscales;0;0;0;0;0
112000200;Otros instrumentos financieros de deuda emitidos en el país;81.414.045;0;0;0;81.414.045
112000201;Instrumentos financieros de deuda de otros bancos del país;0;0;0;0;0
112000202;Bonos y efectos de comercio de empresas del país;81.414.045;0;0;0;81.414.045
112000209;Otros instrumentos financieros de deuda emitidos en el país;0;0;0;0;0
112000300;Instrumentos financieros de deuda emitidos en el exterior;0;0;0;297.267.826.330;297.267.826.330
112000301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0;0;0;0;0
112000302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0;0;0;297.267.826.330;297.267.826.330
112000303;Instrumentos financieros de deuda de otros bancos en el exterior;0;0;0;0;0
112000304;Bonos y efectos de comercio de empresas en el exterior;0;0;0;0;0
112000309;Otros instrumentos financieros de deuda emitidos en el exterior;0;0;0;0;0
113000000;Otros instrumentos financieros;43.195.855.375;0;0;1.355.785.852;44.551.641.227
113000100;Inversiones en Fondos Mutuos;43.195.855.375;0;0;1.355.785.852;44.551.641.227
113000101;Fondos mutuos administrados por sociedades relacionadas;43.194.422.409;0;0;0;43.194.422.409
113000102;Fondos mutuos administrados por terceros;1.432.966;0;0;1.355.785.852;1.357.218.818
113000200;Instrumentos de patrimonio;0;0;0;0;0
113000201;Instrumentos de patrimonio en el país;0;0;0;0;0
113000202;Instrumentos de patrimonio en el exterior;0;0;0;0;0
113000300;Créditos originados y adquiridos por la entidad;0;0;0;0;0
113000301;Adeudado por bancos;0;0;0;0;0
113000302;Colocaciones comerciales;0;0;0;0;0
113000303;Colocaciones para vivienda;0;0;0;0;0
113000304;Colocaciones de consumo;0;0;0;0;0
113000400;Otros;0;0;0;0;0
115000000;ACTIVOS FINANCIEROS NO DESTINADOS A NEGOCIACIÓN VALORADOS OBLIGATORIAMENTE A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS;0;0;0;39.012.178.643;39.012.178.643
115250000;Instrumentos financieros de deuda;0;0;0;0;0
115250100;Del Estado y Banco Central de Chile;0;0;0;0;0
115250101;Instrumentos financieros de deuda del Banco Central de Chile;0;0;0;0;0
115250102;Bonos y pagarés de la Tesorería General de la República;0;0;0;0;0
115250109;Otros instrumentos financieros de deuda fiscales;0;0;0;0;0
