
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;275.419;239.271;484;322.672;837.846
4100100;Contratos de retrocompra;1.284;0;0;777;2.061
4100101;Intereses;1.287;0;0;777;2.064
4100151;Reajustes;-3;0;0;0;-3
4100200;Créditos otorgados a bancos;1.302;0;0;750;2.052
4100201;Intereses;1.302;0;0;750;2.052
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;152.134;102.412;285;185.511;440.342
4100301;Intereses de préstamos comerciales;128.735;27.767;0;132.072;288.574
4100309;Intereses de créditos de comercio exterior;2.377;0;0;23.380;25.757
4100310;Intereses de créditos en cuentas corrientes;10.729;0;0;1.607;12.336
4100320;Intereses de operaciones de factoraje;3.137;3;0;1.497;4.637
4100325;Intereses de préstamos estudiantiles;3;14.784;0;0;14.787
4100330;Intereses por leasing comercial;5.819;6.469;0;24.644;36.932
4100340;Intereses de otros créditos y cuentas por cobrar;0;4;0;2.202;2.206
4100351;Reajustes de préstamos comerciales;0;39.043;0;0;39.043
4100359;Reajustes de créditos de comercio exterior;0;0;0;0;0
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;51;0;0;51
4100375;Reajustes de préstamos estudiantiles;0;9.771;0;0;9.771
4100380;Reajustes por leasing comercial;0;3.998;285;0;4.283
4100390;Reajustes de otros créditos y cuentas por cobrar;0;72;0;0;72
4100399;Comisiones por prepago de créditos comerciales;1.334;450;0;109;1.893
4100400;Colocaciones para vivienda;0;116.972;0;26.064;143.036
4100401;Intereses de préstamos con letras de crédito;0;1.010;0;0;1.010
4100402;Comisiones de préstamos con letras de crédito;0;545;0;0;545
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;0;3.122;0;0;3.122
4100407;Intereses de otros mutuos para vivienda;0;62.458;0;11.311;73.769
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;1;0;14.753;14.754
4100430;Intereses de otros créditos para vivienda;0;597;0;0;597
4100451;Reajustes de préstamos con letras de crédito;0;600;0;0;600
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;1.800;0;0;1.800
4100457;Reajustes de otros mutuos para vivienda;0;46.051;0;0;46.051
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;0;0;0;0
4100490;Reajustes de otros créditos para vivienda;0;333;0;0;333
4100499;Comisiones por prepago de créditos para vivienda;0;455;0;0;455
4100500;Colocaciones de consumo;110.315;254;0;73.601;184.170
4100501;Intereses de créditos de consumo en cuotas;65.547;105;0;59.856;125.508
4100510;Intereses de créditos en cuentas corrientes;24.649;0;0;433;25.082
4100520;Intereses de créditos por tarjetas de crédito;18.892;0;0;12.505;31.397
4100530;Intereses por leasing de consumo;25;3;0;570;598
4100540;Intereses de otros créditos de consumo;1;0;0;237;238
4100590;Reajustes colocaciones de consumo;0;146;0;0;146
4100599;Comisiones por prepago de créditos de consumo;1.201;0;0;0;1.201
4100600;Instrumentos de inversión;15.571;15.278;199;32.830;63.878
4100601;Intereses de inversiones disponibles para la venta;15.571;4.405;199;29.719;49.894
4100621;Intereses de inversiones hasta el vencimiento;0;0;0;3.111;3.111
4100651;Reajustes de inversiones disponibles para la venta;0;10.873;0;0;10.873
4100671;Reajustes de inversiones hasta el vencimiento;0;0;0;0;0
4100800;Otros ingresos por intereses o reajustes;917;4.355;0;3.139;8.411
4100801;Intereses por saldos en cuentas corrientes;0;0;0;0;0
4100804;Intereses operaciones overnight;0;0;0;726;726
4100810;Otros intereses ganados;907;0;0;2.413;3.320
4100850;Otros reajustes ganados;10;4.355;0;0;4.365
4100900;Resultado de coberturas contables;-6.104;0;0;0;-6.104
4150000;GASTOS POR INTERESES Y REAJUSTES;-132.515;-122.929;0;-170.001;-425.445
4150100;Depósitos a la vista;-2.786;-79;0;-21.519;-24.384
4150101;Intereses por cuentas corrientes;-2.786;0;0;-551;-3.337
4150102;Intereses por otros depósitos y cuentas a la vista;0;0;0;-20.968;-20.968
4150103;Intereses por otras obligaciones a la vista;0;0;0;0;0
4150151;Reajustes por obligaciones a la vista;0;-79;0;0;-79
4150200;Contratos de retrocompra;-3.537;0;0;-10.525;-14.062
4150201;Intereses;-3.537;0;0;-10.525;-14.062
4150251;Reajustes;0;0;0;0;0
4150300;Depósitos y captaciones a plazo;-94.113;-19.566;0;-82.906;-196.585
4150301;Intereses por depósitos a plazo;-94.107;-11.259;0;-82.786;-188.152
4150302;Intereses por cuentas de ahorro a plazo;-6;0;0;-120;-126
4150309;Intereses de otros saldos acreedores a plazo;0;0;0;0;0
4150351;Reajustes por depósitos a plazo;0;-8.205;0;0;-8.205
4150352;Reajustes por cuentas de ahorro a plazo;0;-102;0;0;-102
4150359;Reajustes de otros saldos acreedores a plazo;0;0;0;0;0
4150400;Obligaciones con bancos;-770;-244;0;-31.888;-32.902
4150401;Intereses;-770;-120;0;-31.888;-32.778
4150451;Reajustes;0;-124;0;0;-124
4150500;Instrumentos de deuda emitidos;-31.209;-100.810;0;-22.536;-154.555
4150501;Intereses por letras de crédito;0;-771;0;0;-771
4150511;Intereses por bonos corrientes;-31.209;-25.673;0;-22.536;-79.418
4150521;Intereses por bonos subordinados;0;-16.974;0;0;-16.974
4150522;Intereses por bonos hipotecarios;0;0;0;0;0
4150551;Reajustes por letras de crédito;0;-782;0;0;-782
4150561;Reajustes por bonos corrientes;0;-45.988;0;0;-45.988
4150571;Reajustes por bonos subordinados;0;-10.622;0;0;-10.622
4150572;Reajustes por bonos hipotecarios;0;0;0;0;0
4150600;Otras obligaciones financieras;0;0;0;-265;-265
4150601;Intereses;0;0;0;-265;-265
4150651;Reajustes;0;0;0;0;0
4150800;Otros gastos por intereses o reajustes;0;-2.230;0;-362;-2.592
4150801;Intereses;0;0;0;-362;-362
4150851;Reajustes;0;-2.230;0;0;-2.230
4150900;Resultado de coberturas contables;-100;0;0;0;-100
4200000;INGRESOS POR COMISIONES;77.304;1.074;0;35.428;113.806
4200100;Comisiones por líneas de crédito y sobregiros;3.776;0;0;679;4.455
4200200;Comisiones por avales y cartas de crédito;3.544;1.074;0;2.003;6.621
4200300;Comisiones por servicios de tarjetas;23.560;0;0;12.588;36.148
4200303;Tarjetas de cajeros automáticos;6.010;0;0;1.527;7.537
4200304;Tarjetas de crédito-comisiones a titulares;4.296;0;0;1.431;5.727
4200305;Tarjetas de crédito-comisiones de establecimientos;7.029;0;0;8.604;15.633
4200306;Tarjetas de débito-comisiones de titulares;3.652;0;0;119;3.771
4200307;Tarjetas de débito-comisiones de establecimientos;2.573;0;0;0;2.573
4200309;Otras tarjetas;0;0;0;907;907
4200400;Comisiones por administración de cuentas;2.871;0;0;1.481;4.352
4200500;Comisiones por cobranzas, recaudaciones y pagos;6.305;0;0;3.722;10.027
4200600;Comisiones por intermediación y manejo de valores;2.030;0;0;3.515;5.545
4200700;Comisiones por inversiones en fondos mutuos u otros;7.578;0;0;4.612;12.190
4200800;Remuneraciones por comercialización de seguros;16.182;0;0;2.036;18.218
4200900;Otras comisiones ganadas;11.458;0;0;4.792;16.250
4250000;GASTOS POR COMISIONES;-7.648;0;0;-16.957;-24.605
4250100;Remuneraciones por operación de tarjetas;-5.952;0;0;-11.635;-17.587
4250101;Comisiones por operación de tarjetas de crédito;-2.277;0;0;-11.598;-13.875
4250102;Comisiones por operación de tarjetas de débito y cajeros;-3.675;0;0;-37;-3.712
4250190;Otras;0;0;0;0;0
4250200;Comisiones por operación con valores;-693;0;0;-896;-1.589
4250300;Otras comisiones;-1.003;0;0;-4.426;-5.429
4300000;UTILIDAD NETA DE OPERACIONES FINANCIERAS;51.736;-10.019;0;16.718;58.435
4300100;Instrumentos financieros para negociación;1.475;0;0;-1.953;-478
4300101;Intereses y reajustes;1.039;0;0;7.785;8.824
4300102;Ajuste a valor razonable;-55;0;0;-9.037;-9.092
4300103;Utilidad por venta;1.090;0;0;857;1.947
4300104;Pérdida por venta;-692;0;0;-1.558;-2.250
4300190;Resultado inversiones en Fondos Mutuos;93;0;0;0;93
4300200;Derivados de negociación;41.569;-10.019;0;14.862;46.412
4300300;Venta de instrumentos disponibles para la venta;8.574;0;0;2.245;10.819
4300400;Venta de cartera de créditos;60;0;0;805;865
4300500;Resultado neto de otras operaciones;58;0;0;759;817
4350000;UTILIDAD (PÉRDIDA) DE CAMBIO NETA;21.732;148;-321;7.384;28.943
4350100;Resultado neto de cambio monedas extranjeras;-1.378;0;0;7.382;6.004
4350200;Resultados neto por reajustes por tipo de cambio;0;148;-321;0;-173
4350900;Resultado de coberturas contables;23.110;0;0;2;23.112
4400000;OTROS INGRESOS OPERACIONALES;12.071;0;0;6.852;18.923
4400100;Ingresos por bienes recibidos en pago;174;0;0;688;862
4400200;Liberación de provisiones por contingencias;0;0;0;721;721
4400290;Otras provisiones por contingencias;0;0;0;0;0
4400300;Otros ingresos;11.897;0;0;5.443;17.340
4500000;PROVISIONES POR RIESGO DE CREDITO;-57.344;0;0;-62.396;-119.740
4500100;Provisiones para créditos y cuentas por cobrar;-65.537;0;0;-61.583;-127.120
4500101;Provisiones colocaciones comerciales;-18.255;0;0;-21.042;-39.297
4500111;Provisiones colocaciones para vivienda;440;0;0;-5.339;-4.899
4500112;Provisiones colocaciones de consumo;-47.717;0;0;-35.133;-82.850
4500190;Provisiones para créditos otorgados a bancos;-5;0;0;-69;-74
4500200;Provisiones para créditos contingentes;-9.356;0;0;-5.093;-14.449
4500700;Provisiones adicionales;0;0;0;0;0
4500701;Provisiones adicionales colocaciones comerciales;0;0;0;0;0
4500702;Provisiones adicionales colocaciones para vivienda;0;0;0;0;0
4500703;Provisiones adicionales colocaciones de consumo;0;0;0;0;0
4500800;Ajuste a provisión mínima cartera normal;0;0;0;0;0
4500801;Ajuste a provisión mínima adeudado por bancos;0;0;0;0;0
4500802;Ajuste a provisión mínima colocaciones comerciales;0;0;0;0;0
4500803;Ajuste a provisión mínima créditos contingentes;0;0;0;0;0
4500900;Recuperación de créditos castigados;17.549;0;0;4.280;21.829
4500901;Recuperación de créditos comerciales castigados;7.776;0;0;1.323;9.099
4500911;Recuperación de créditos para vivienda castigados;1.229;0;0;246;1.475
4500921;Recuperación de créditos de consumo castigados;8.544;0;0;2.711;11.255
4500931;Recuperación de otros créditos castigados;0;0;0;0;0
4600000;REMUNERACIONES Y GASTOS DEL PERSONAL;-93.289;0;0;-46.762;-140.051
4610000;GASTOS DE ADMINISTRACIÓN;-94.256;0;0;-50.032;-144.288
4610100;Gastos generales de administración;-74.859;0;0;-29.609;-104.468
4610200;Servicios subcontratados;-7.138;0;0;-5.507;-12.645
4610300;Gastos del Directorio;-660;0;0;-62;-722
4610400;Publicidad y propaganda;-5.246;0;0;-973;-6.219
4610500;Impuestos, contribuciones y aportes;-6.353;0;0;-13.881;-20.234
4620000;DEPRECIACIONES Y AMORTIZACIONES;-25.255;0;0;-15.836;-41.091
4630000;DETERIOROS;0;0;0;0;0
4650000;OTROS GASTOS OPERACIONALES;-27.982;0;0;-11.835;-39.817
4650100;Provisiones y gastos por bienes recibidos en pago;-5.578;0;0;-5.635;-11.213
4650200;Provisiones por contingencias;-5.014;0;0;-352;-5.366
4650201;Provisiones por riesgo país;0;0;0;0;0
4650211;Provisiones especiales para créditos al exterior;0;0;0;0;0
4650290;Otras provisiones por contingencias;-5.014;0;0;-352;-5.366
4650900;Otros gastos;-17.390;0;0;-5.848;-23.238
4700000;RESULTADO POR INVERSIONES EN SOCIEDADES;246;0;0;1.240;1.486
4700100;Utilidades por inversiones en sociedades;246;0;0;1.240;1.486
4700101;Sucursales en el exterior;0;0;0;0;0
4700103;Sociedades con influencia significativa;0;0;0;0;0
4700110;Percibido por acciones y derechos en otras sociedades;246;0;0;1.240;1.486
4700200;Pérdidas por inversiones en sociedades;0;0;0;0;0
4700201;Sucursales en el exterior;0;0;0;0;0
4700203;Sociedades con influencia significativa;0;0;0;0;0
4700210;Ajustes por deterioro de inversiones en sociedades;0;0;0;0;0
4800000;IMPUESTO A LA RENTA;-24.273;0;0;1.206;-23.067
4800001;Provisión impuesto a la renta;-47.118;0;0;-6.919;-54.037
4850000;RESULTADO DE OPERACIONES DESCONTINUADAS;0;0;0;0;0
4900000;INTERES NO CONTROLADOR;619;0;0;19;638
5003000;INGRESO NETO POR INTERESES Y REAJUSTES;142.904;116.342;484;152.671;412.401
5004000;INGRESO NETO POR COMISIONES;69.656;1.074;0;18.471;89.201
5005000;TOTAL INGRESOS OPERACIONALES;298.099;107.545;163;202.096;607.903
5006000;INGRESO OPERACIONAL NETO;240.755;107.545;163;139.700;488.163
5007000;RESULTADO OPERACIONAL;-27;107.545;163;15.235;122.916
5008000;RESULTADO ANTES DE IMPUESTO A LA RENTA;219;107.545;163;16.475;124.402
5009000;RESULTADO DE OPERACIONES CONTINUAS;-24.054;107.545;163;17.681;101.335
5010000;UTILIDAD (PERDIDA) CONSOLIDADA DEL EJERCICIO;-24.054;107.545;163;17.681;101.335
5020000;RESULTADO DE LOS PROPIETARIOS;-24.673;107.545;163;17.662;100.697
