
Código Contable;Descripción;Total (suma de todas las monedas)
 
411000000;INGRESOS POR INTERESES;367.317.447.423
411100000;ACTIVOS FINANCIEROS A COSTO AMORTIZADO;322.493.526.827
411150000;Derechos por pactos de retroventa y prestamos de valores;3.477.755.260
411150100;Operaciones con bancos del país;19.564
411150101;Contratos de retroventa con otros bancos;19.564
411150102;Contratos de retroventa con Banco Central de Chile;0
411150103;Derechos por préstamos de valores;0
411150200;Operaciones con bancos del exterior;867.810.587
411150201;Contratos de retroventa con otros bancos;867.810.587
411150202;Contratos de retroventa con Bancos Centrales del exterior;0
411150203;Derechos por préstamos de valores;0
411150300;Operaciones con otras entidades en el país;2.609.925.109
411150301;Contratos de retroventa;2.609.925.109
411150302;Derechos por préstamos de valores;0
411150400;Operaciones con otras entidades en el exterior;0
411150401;Contratos de retroventa;0
411150402;Derechos por préstamos de valores;0
411200000;Instrumentos financieros de deuda;4.907.334.046
411200100;Del Estado y Banco Central de Chile;444.523.782
411200101;Instrumentos financieros de deuda del Banco Central de Chile;0
411200102;Bonos y pagarés de la Tesorería General de la República;444.523.782
411200109;Otros instrumentos financieros de deuda fiscales;0
411200200;Otros instrumentos financieros de deuda emitidos en el país;0
411200201;Instrumentos financieros de deuda de otros bancos del país;0
411200202;Bonos y efectos de comercio de empresas del país;0
411200209;Otros instrumentos financieros de deuda emitidos en el país;0
411200300;Instrumentos financieros de deuda emitidos en el exterior;4.462.810.264
411200301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411200302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;0
411200303;Instrumentos financieros de deuda de otros bancos en el exterior;0
411200304;Bonos y efectos de comercio de empresas en el exterior;0
411200309;Otros instrumentos financieros de deuda emitidos en el exterior;4.462.810.264
411250000;Adeudado por bancos;223.932.796
411250100;Bancos del país;19.583.334
411250101;Préstamos interbancarios de liquidez;19.583.334
411250102;Préstamos interbancarios comerciales;0
411250103;Sobregiros en cuentas corrientes;0
411250104;Créditos comercio exterior exportaciones chilenas;0
411250105;Créditos comercio exterior importaciones chilenas;0
411250106;Créditos comercio exterior entre terceros países;0
411250107;Depósitos no transferibles en bancos del país;0
411250190;Otras acreencias con bancos del país;0
411250200;Bancos del exterior;204.349.462
411250201;Préstamos interbancarios de liquidez;204.271.190
411250202;Préstamos interbancarios comerciales;78.272
411250203;Sobregiros en cuentas corrientes;0
411250204;Créditos comercio exterior exportaciones chilenas;0
411250205;Créditos comercio exterior importaciones chilenas;0
411250206;Créditos comercio exterior entre terceros países;0
411250207;Depósitos en cuenta corriente en bancos del exterior por operaciones de derivados;0
411250208;Otros depósitos no transferibles en bancos del exterior;0
411250290;Otras acreencias con bancos del exterior;0
411250300;Banco Central de Chile;0
411250301;Depósitos en cuenta corriente del Banco Central de Chile por operaciones de derivados con COMDER;0
411250302;Otros depósitos en el Banco Central de Chile no disponibles;0
411250309;Otras acreencias con el Banco Central de Chile;0
411250400;Bancos Centrales del exterior;0
411250401;Depósitos en cuenta corriente de Bancos Centrales del exterior por operaciones de derivados;0
411250402;Otros depósitos en Bancos Centrales del exterior no disponibles;0
411250409;Otras acreencias con Bancos Centrales del exterior;0
411280000;Colocaciones comerciales;168.995.963.566
411280100;Préstamos comerciales;133.933.860.867
411280101;Préstamos en el país;82.675.851.579
411280102;Préstamos en el exterior;44.053.239.768
411280103;Créditos para infraestructura escolar Ley N° 20.845;0
411280104;Préstamos con letras de crédito para fines generales;1.164.533
411280105;Préstamos con mutuos hipotecarios endosables para fines generales;112.340
411280106;Préstamos con mutuos hipotecarios no endosables para fines generales;7.203.492.647
411280200;Créditos de comercio exterior;7.157.294.067
411280201;Acreditivos negociados a plazo de exportaciones chilenas;6.613.160.056
411280202;Otros créditos para exportaciones chilenas;304.257.469
411280203;Acreditivos negociados a plazo de importaciones chilenas;0
411280204;Otros créditos para importaciones chilenas;0
411280205;Acreditivos negociados a plazo de operaciones entre terceros países;0
411280209;Otros créditos para operaciones entre terceros países;239.876.542
411280300;Deudores en cuentas corrientes;4.236.105.261
411280400;Deudores por tarjetas de crédito;168.069.071
411280500;Operaciones de factoraje;3.704.217.354
411280501;Factoring con responsabilidad;2.935.715.936
411280502;Factoring sin responsabilidad;768.501.418
411280600;Operaciones de leasing financiero comercial;13.321.574.656
411280601;Leasing por bienes inmobiliarios;2.557.483.743
411280602;Leasing por bienes no inmobiliarios;10.764.090.913
411280700;Préstamos estudiantiles;6.474.842.290
411280701;Créditos para estudios superiores Ley N° 20.027;6.421.797.405
411280702;Créditos con garantía CORFO;53.044.885
411280709;Otros créditos para estudios superiores;0
411280900;Otros créditos y cuentas por cobrar;0
411280901;Deudores por pago de obligaciones avaladas;0
411280902;Deudores por boletas de garantía pagadas;0
411280990;Otras cuentas por cobrar;0
411350000;Colocaciones para vivienda;49.206.062.610
411350100;Préstamos con letras de crédito para vivienda;199.683.342
411350200;Préstamos con mutuos hipotecarios endosable;774.529.489
411350300;Préstamos con mutuos financiados con bonos hipotecarios;0
411350400;Otros créditos con mutuos para vivienda;42.194.787.208
411350401;Otros créditos con mutuos no endosables para vivienda;34.509.594.186
411350402;Otros créditos con mutuos para vivienda;7.685.193.022
411350500;Operaciones de leasing financiero para vivienda;6.037.062.571
411350900;Otros créditos y cuentas por cobrar;0
411350901;Créditos complementarios a los mutuos;0
411350902;Créditos de enlace;0
411350903;Créditos provenientes de la ANAP;0
411350990;Cuentas por cobrar a deudores para vivienda;0
411380000;Colocaciones de consumo;87.114.119.798
411380100;Créditos de consumo en cuotas;59.914.492.749
411380200;Deudores en cuentas corrientes;8.005.187.596
411380300;Deudores por tarjetas de crédito;19.128.843.246
411380400;Operaciones de leasing financiero de consumo;17.727.284
411380900;Otros créditos y cuentas por cobrar;47.868.923
411380901;Créditos de consumo rotativos;47.868.923
411380990;Cuentas por cobrar a deudores de consumo;0
411450000;Otros instrumentos financieros;8.568.358.751
411450100;Depósitos en el Banco Central de Chile;7.588.166.667
411450101;Depósitos en cuenta corriente;0
411450102;Depósitos overnight;7.588.166.667
411450109;Otros depósitos disponibles;0
411450200;Depósitos en Bancos Centrales del exterior;49.118.462
411450201;Depósitos en cuenta corriente;0
411450202;Depósitos overnight;49.118.462
411450209;Otros depósitos disponibles;0
411450300;Depósitos en bancos del país;0
411450400;Depósitos en bancos del exterior;267.996.310
411450900;Otros intereses ganados;663.077.312
411700000;ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL;31.078.167.226
411720000;Instrumentos financieros de deuda;30.831.045.234
411720100;Del Estado y Banco Central de Chile;30.543.824.505
411720101;Instrumentos financieros de deuda del Banco Central de Chile;28.959.098.512
411720102;Bonos y pagarés de la Tesorería General de la República;1.020.658.913
411720109;Otros instrumentos financieros de deuda fiscales;564.067.080
411720200;Otros instrumentos financieros de deuda emitidos en el país;169.768.383
411720201;Instrumentos financieros de deuda de otros bancos del país;83.458.369
411720202;Bonos y efectos de comercio de empresas del país;0
411720209;Otros instrumentos financieros de deuda emitidos en el país;86.310.014
411720300;Instrumentos financieros de deuda emitidos en el exterior;117.452.346
411720301;Instrumentos financieros de deuda de Bancos Centrales en el exterior;0
411720302;Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior;5.939.001
411720303;Instrumentos financieros de deuda de otros bancos en el exterior;82.038.011
411720304;Bonos y efectos de comercio de empresas en el exterior;0
411720309;Otros instrumentos financieros de deuda emitidos en el exterior;29.475.334
411740000;Otros instrumentos financieros;247.121.992
411740100;Créditos originados y adquiridos por la entidad;0
411740101;Adeudado por bancos;0
411740102;Colocaciones comerciales;0
411740103;Colocaciones para vivienda;0
