Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;32.115.581;19.983.825;148.717;7.062.335;59.310.458
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;2.205.523;0;0;1.550.263;3.755.786
1100100;Efectivo;780.544;0;0;114.202;894.746
1100200;Depósitos en el Banco Central de Chile;1.421.071;0;0;165.747;1.586.818
1100300;Depósitos en bancos del país;3.908;0;0;0;3.908
1100400;Depósitos en el exterior;0;0;0;1.270.314;1.270.314
1130000;OPERACIONES CON LIQUIDACION EN CURSO;279.609;0;0;336.313;615.922
1130100;Documentos a cargo de otros bancos (canje);64.053;0;0;20.857;84.910
1130200;Transferencias de fondos en curso;215.556;0;0;315.456;531.012
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;262.951;283.506;0;6.432;552.889
1150100;Del Estado y Banco Central de Chile;262.946;283.506;0;0;546.452
1150200;Otros instrumentos emitidos en el país;0;0;0;0;0
1150300;Instrumentos emitidos en el exterior;0;0;0;6.432;6.432
1150400;Inversiones en Fondos Mutuos;5;0;0;0;5
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;0;0;0;0;0
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;0;0;0;0;0
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;14.925.196;0;0;0;14.925.196
1250100;Contratos de negociación;14.224.639;0;0;0;14.224.639
1250200;Contratos para cobertura contable;700.557;0;0;0;700.557
1270000;ADEUDADO POR BANCOS;3;0;0;12.932;12.935
1270100;Banco del país;3;0;0;0;3
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;0;0;0;12.932;12.932
1270202;Préstamos interbancarios de liquidez;0;0;0;0;0
1270203;Préstamos interbancarios comerciales;0;0;0;0;0
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;12.945;12.945
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270290;Provisiones para créditos con bancos del exterior;0;0;0;-13;-13
1270300;Banco Central de Chile;0;0;0;0;0
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;11.269.570;18.437.173;143.074;3.585.414;33.435.231
1302000;COLOCACIONES COMERCIALES;6.784.885;6.758.244;143.074;3.540.597;17.226.800
1302100;Préstamos comerciales;5.089.534;5.798.559;0;1.617.425;12.505.518
1302101;Préstamos en el país;5.089.517;5.797.365;0;1.617.425;12.504.307
1302102;Préstamos en el exterior;0;0;0;0;0
1302170;Préstamos con letras de crédito para fines generales;0;1.024;0;0;1.024
1302180;Préstamos con mutuos hipotecarios endosables;17;170;0;0;187
1302200;Créditos de comercio exterior;210.957;2.426;41;1.815.808;2.029.232
1302201;Acreditivos negociados a plazo de exportaciones chilenas;0;0;0;12.615;12.615
1302202;Otros créditos para exportaciones chilenas;86.572;545;0;1.021.543;1.108.660
1302241;Acreditivos negociados a plazo de importaciones chilenas;5.270;0;41;261.428;266.739
1302242;Otros créditos para importaciones chilenas;119.115;1.881;0;514.249;635.245
1302281;Acreditivos negociados a plazo de operaciones entre terceros países;0;0;0;5.973;5.973
1302282;Otros créditos para operaciones entre terceros países;0;0;0;0;0
1302300;Deudores en cuentas corrientes;270.907;0;0;7.628;278.535
1302500;Operaciones de factoraje;506.411;11.368;0;93.253;611.032
1302600;Préstamos estudiantiles;0;69.307;0;0;69.307
1302601;Créditos para estudios superiores Ley N° 20.027;0;37.029;0;0;37.029
1302602;Créditos con garantía CORFO;0;0;0;0;0
1302604;Otros créditos para estudios superiores;0;32.278;0;0;32.278
1302800;Operaciones de leasing comercial;479.039;869.353;142.465;0;1.490.857
1302900;Otros créditos y cuentas por cobrar;228.037;7.231;568;6.483;242.319
