
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;1.118.719;1.042.756;6.142;153.651;2.321.268
4100100;Contratos de retrocompra;676;42;0;0;718
4100101;Intereses;676;42;0;0;718
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;1.263;0;0;0;1.263
4100201;Intereses;1.263;0;0;0;1.263
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;447.937;374.362;6.142;128.783;957.224
4100301;Intereses de préstamos comerciales;346.013;161.173;0;52.410;559.596
4100309;Intereses de créditos de comercio exterior;13.309;95;0;73.695;87.099
4100310;Intereses de créditos en cuentas corrientes;29.505;0;0;0;29.505
4100320;Intereses de operaciones de factoraje;19.672;0;0;2.678;22.350
4100325;Intereses de préstamos estudiantiles;0;1.686;0;0;1.686
4100330;Intereses por leasing comercial;30.629;40.610;6.142;0;77.381
4100340;Intereses de otros créditos y cuentas por cobrar;725;1.942;0;0;2.667
4100351;Reajustes de préstamos comerciales;2;135.903;0;0;135.905
4100359;Reajustes de créditos de comercio exterior;0;41;0;0;41
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;290;0;0;0;290
4100375;Reajustes de préstamos estudiantiles;0;915;0;0;915
4100380;Reajustes por leasing comercial;0;22.295;0;0;22.295
4100390;Reajustes de otros créditos y cuentas por cobrar;0;1.016;0;0;1.016
4100399;Comisiones por prepago de créditos comerciales;7.792;8.686;0;0;16.478
4100400;Colocaciones para vivienda;66;633.872;0;0;633.938
4100401;Intereses de préstamos con letras de crédito;0;818;0;0;818
4100402;Comisiones de préstamos con letras de crédito;0;386;0;0;386
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;3.576;0;0;3.576
4100405;Intereses de préstamos con MHE;0;1.019;0;0;1.019
4100407;Intereses de otros mutuos para vivienda;66;343.798;0;0;343.864
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;0;0;0;0
4100430;Intereses de otros créditos para vivienda;0;0;0;0;0
4100451;Reajustes de préstamos con letras de crédito;0;369;0;0;369
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;3.082;0;0;3.082
