
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;143.054;163.794;1.429;21.945;330.222
4100100;Contratos de retrocompra;450;0;0;0;450
4100101;Intereses;450;0;0;0;450
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;3;0;0;46;49
4100201;Intereses;3;0;0;46;49
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;51.815;37.118;1.429;20.567;110.929
4100301;Intereses de préstamos comerciales;40.615;15.828;0;12.218;68.661
4100309;Intereses de créditos de comercio exterior;1.009;227;0;7.963;9.199
4100310;Intereses de créditos en cuentas corrientes;2.645;0;0;0;2.645
4100320;Intereses de operaciones de factoraje;2.371;449;0;386;3.206
4100325;Intereses de préstamos estudiantiles;0;269;0;0;269
4100330;Intereses por leasing comercial;4.252;3.894;1.429;0;9.575
4100340;Intereses de otros créditos y cuentas por cobrar;102;0;0;0;102
4100351;Reajustes de préstamos comerciales;0;12.636;0;0;12.636
4100359;Reajustes de créditos de comercio exterior;0;231;0;0;231
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;451;0;0;451
4100375;Reajustes de préstamos estudiantiles;0;102;0;0;102
4100380;Reajustes por leasing comercial;0;3.031;0;0;3.031
4100390;Reajustes de otros créditos y cuentas por cobrar;0;0;0;0;0
4100399;Comisiones por prepago de créditos comerciales;821;0;0;0;821
4100400;Colocaciones para vivienda;2.823;122.244;0;0;125.067
4100401;Intereses de préstamos con letras de crédito;0;152;0;0;152
4100402;Comisiones de préstamos con letras de crédito;0;58;0;0;58
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;0;337;0;0;337
4100407;Intereses de otros mutuos para vivienda;41;71.193;0;0;71.234
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;1.751;13;0;0;1.764
4100430;Intereses de otros créditos para vivienda;0;0;0;0;0
4100451;Reajustes de préstamos con letras de crédito;0;72;0;0;72
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;144;0;0;144
4100457;Reajustes de otros mutuos para vivienda;0;50.264;0;0;50.264
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;496;11;0;0;507
4100490;Reajustes de otros créditos para vivienda;0;0;0;0;0
4100499;Comisiones por prepago de créditos para vivienda;535;0;0;0;535
4100500;Colocaciones de consumo;74.633;2.253;0;0;76.886
4100501;Intereses de créditos de consumo en cuotas;46.038;1.483;0;0;47.521
4100510;Intereses de créditos en cuentas corrientes;10.347;0;0;0;10.347
4100520;Intereses de créditos por tarjetas de crédito;17.145;0;0;0;17.145
4100530;Intereses por leasing de consumo;4;1;0;0;5
4100540;Intereses de otros créditos de consumo;0;0;0;0;0
4100590;Reajustes colocaciones de consumo;0;769;0;0;769
4100599;Comisiones por prepago de créditos de consumo;1.099;0;0;0;1.099
4100600;Instrumentos de inversión;9.577;6.608;0;128;16.313
4100601;Intereses de inversiones disponibles para la venta;9.531;2.010;0;128;11.669
4100621;Intereses de inversiones hasta el vencimiento;0;95;0;0;95
4100651;Reajustes de inversiones disponibles para la venta;46;4.478;0;0;4.524
4100671;Reajustes de inversiones hasta el vencimiento;0;25;0;0;25
4100800;Otros ingresos por intereses o reajustes;1.524;103;0;1.204;2.831
4100801;Intereses por saldos en cuentas corrientes;0;0;0;0;0
4100804;Intereses operaciones overnight;977;0;0;434;1.411
4100810;Otros intereses ganados;539;0;0;770;1.309
4100850;Otros reajustes ganados;8;103;0;0;111
