Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;288.314;26.309;14.220;752.027;1.080.870
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;20.268;0;0;31.529;51.797
1100100;Efectivo;26;0;0;199;225
1100200;Depósitos en el Banco Central de Chile;19.760;0;0;9.184;28.944
1100300;Depósitos en bancos del país;482;0;0;831;1.313
1100400;Depósitos en el exterior;0;0;0;21.315;21.315
1130000;OPERACIONES CON LIQUIDACION EN CURSO;13.411;0;0;18.400;31.811
1130100;Documentos a cargo de otros bancos (canje);1;0;0;34;35
1130200;Transferencias de fondos en curso;13.410;0;0;18.366;31.776
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;0;0;0;0;0
1150100;Del Estado y Banco Central de Chile;0;0;0;0;0
1150200;Otros instrumentos emitidos en el país;0;0;0;0;0
1150300;Instrumentos emitidos en el exterior;0;0;0;0;0
1150400;Inversiones en Fondos Mutuos;0;0;0;0;0
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;0;0;0;0;0
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;0;0;0;0;0
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;10.892;0;0;0;10.892
1250100;Contratos de negociación;2.392;0;0;0;2.392
1250200;Contratos para cobertura contable;8.500;0;0;0;8.500
1270000;ADEUDADO POR BANCOS;0;0;0;0;0
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;0;0;0;0;0
1270202;Préstamos interbancarios de liquidez;0;0;0;0;0
1270203;Préstamos interbancarios comerciales;0;0;0;0;0
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270290;Provisiones para créditos con bancos del exterior;0;0;0;0;0
1270300;Banco Central de Chile;0;0;0;0;0
1300000;CRÉDITOS Y CUENTAS POR COBRAR A CLIENTES;101.354;26.309;14.220;702.016;843.899
1302000;COLOCACIONES COMERCIALES;131.746;26.309;14.220;702.016;874.291
1302100;Préstamos comerciales;130.949;25.008;14.220;605.868;776.045
1302101;Préstamos en el país;130.949;25.008;14.220;605.868;776.045
1302102;Préstamos en el exterior;0;0;0;0;0
1302170;Préstamos con letras de crédito para fines generales;0;0;0;0;0
1302180;Préstamos con mutuos hipotecarios endosables;0;0;0;0;0
1302200;Créditos de comercio exterior;683;0;0;94.329;95.012
1302201;Acreditivos negociados a plazo de exportaciones chilenas;0;0;0;0;0
