Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

100000000;TOTAL ACTIVOS;3.970.664.093.466;3.742.747.324.822;15.039.698.142;1.023.517.993.906;8.751.969.110.336
105000000;EFECTIVO Y DEPÓSITOS EN BANCOS;213.261.953.231;0;0;152.845.559.600;366.107.512.831
105000100;Efectivo;3.170.988.695;0;0;196.452.420;3.367.441.115
105000101;Efectivo en oficinas;1.832.823.695;0;0;196.452.420;2.029.276.115
105000102;Efectivo en empresas transportadoras de valores;1.338.165.000;0;0;0;1.338.165.000
105000103;Efectivo en custodia en otras entidades financieras;0;0;0;0;0
105000200;Depósitos en el Banco Central de Chile;205.551.504.577;0;0;49.066.830.411;254.618.334.988
105000201;Depósitos en cuenta corriente;100.524.526.577;0;0;23.255.036.112;123.779.562.689
105000202;Depósitos overnight;0;0;0;25.811.794.299;25.811.794.299
105000209;Otros depósitos disponibles;105.026.978.000;0;0;0;105.026.978.000
105000300;Depósitos en Bancos Centrales del exterior;0;0;0;0;0
105000301;Depósitos en cuenta corriente;0;0;0;0;0
105000302;Depósitos overnight;0;0;0;0;0
105000309;Otros depósitos disponibles;0;0;0;0;0
105000400;Depósitos en bancos del país;4.539.459.959;0;0;2.526.372.530;7.065.832.489
105000500;Depósitos en bancos del exterior;0;0;0;101.055.904.239;101.055.904.239
107000000;OPERACIONES CON LIQUIDACION EN CURSO;69.753.133.481;0;0;98.839.516.184;168.592.649.665
107000100;Documentos a cargo de otros bancos (canje);1.916.726.807;0;0;162.472.555;2.079.199.362
107000101;Canje no deducible;0;0;0;0;0
107000102;Canje de la plaza;1.916.726.807;0;0;162.472.555;2.079.199.362
107000103;Canje de otras plazas;0;0;0;0;0
107000200;Transferencias de fondos en curso con una contraparte central;0;0;0;0;0
107000201;Fondos pendientes de transferencia por operaciones en la cámara de swaps;0;0;0;0;0
107000202;Fondos pendientes de transferencia por operaciones en la cámara de forwards;0;0;0;0;0
107000300;Transferencias de fondos en curso a través de una cámara de compensación de alto valor;0;0;0;0;0
107000400;Otras transferencias de fondos en curso con Bancos u Otros;67.836.406.674;0;0;98.677.043.629;166.513.450.303
107000401;Pagos de contrapartes por liquidar - Bancos;34.971.702.615;0;0;0;34.971.702.615
