
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;115.811;48.631;0;43.536;207.978
4100100;Contratos de retrocompra;778;0;0;0;778
4100101;Intereses;778;0;0;0;778
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;667;0;0;1;668
4100201;Intereses;667;0;0;1;668
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;71.126;23.379;0;18.077;112.582
4100301;Intereses de préstamos comerciales;65.411;1.348;0;12.931;79.690
4100309;Intereses de créditos de comercio exterior;244;0;0;3.794;4.038
4100310;Intereses de créditos en cuentas corrientes;36;0;0;0;36
4100320;Intereses de operaciones de factoraje;3.023;0;0;1.223;4.246
4100325;Intereses de préstamos estudiantiles;0;0;0;0;0
4100330;Intereses por leasing comercial;2.412;7;0;129;2.548
4100340;Intereses de otros créditos y cuentas por cobrar;0;0;0;0;0
4100351;Reajustes de préstamos comerciales;0;21.198;0;0;21.198
4100359;Reajustes de créditos de comercio exterior;0;0;0;0;0
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;-9;0;0;-9
4100375;Reajustes de préstamos estudiantiles;0;0;0;0;0
4100380;Reajustes por leasing comercial;0;835;0;0;835
4100390;Reajustes de otros créditos y cuentas por cobrar;0;0;0;0;0
4100399;Comisiones por prepago de créditos comerciales;0;0;0;0;0
4100400;Colocaciones para vivienda;0;7.864;0;0;7.864
4100401;Intereses de préstamos con letras de crédito;0;0;0;0;0
4100402;Comisiones de préstamos con letras de crédito;0;0;0;0;0
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;0;3.471;0;0;3.471
4100407;Intereses de otros mutuos para vivienda;0;0;0;0;0
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;0;0;0;0
4100430;Intereses de otros créditos para vivienda;0;954;0;0;954
4100451;Reajustes de préstamos con letras de crédito;0;0;0;0;0
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;2.801;0;0;2.801
4100457;Reajustes de otros mutuos para vivienda;0;0;0;0;0
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;0;0;0;0
4100490;Reajustes de otros créditos para vivienda;0;638;0;0;638
4100499;Comisiones por prepago de créditos para vivienda;0;0;0;0;0
4100500;Colocaciones de consumo;15.030;0;0;0;15.030
4100501;Intereses de créditos de consumo en cuotas;14.547;0;0;0;14.547
4100510;Intereses de créditos en cuentas corrientes;0;0;0;0;0
4100520;Intereses de créditos por tarjetas de crédito;111;0;0;0;111
4100530;Intereses por leasing de consumo;0;0;0;0;0
4100540;Intereses de otros créditos de consumo;0;0;0;0;0
4100590;Reajustes colocaciones de consumo;0;0;0;0;0
4100599;Comisiones por prepago de créditos de consumo;372;0;0;0;372
4100600;Instrumentos de inversión;27.511;17.381;0;25.256;70.148
4100601;Intereses de inversiones disponibles para la venta;27.511;8.987;0;25.256;61.754
4100621;Intereses de inversiones hasta el vencimiento;0;0;0;0;0
4100651;Reajustes de inversiones disponibles para la venta;0;8.394;0;0;8.394
4100671;Reajustes de inversiones hasta el vencimiento;0;0;0;0;0
4100800;Otros ingresos por intereses o reajustes;690;0;0;206;896
4100801;Intereses por saldos en cuentas corrientes;0;0;0;0;0
4100804;Intereses operaciones overnight;29;0;0;0;29
4100810;Otros intereses ganados;661;0;0;206;867
4100850;Otros reajustes ganados;0;0;0;0;0
4100900;Resultado de coberturas contables;9;7;0;-4;12
4150000;GASTOS POR INTERESES Y REAJUSTES;-59.234;-49.997;0;-18.077;-127.308
4150100;Depósitos a la vista;-492;0;0;0;-492
4150101;Intereses por cuentas corrientes;-102;0;0;0;-102
4150102;Intereses por otros depósitos y cuentas a la vista;-390;0;0;0;-390
4150103;Intereses por otras obligaciones a la vista;0;0;0;0;0
4150151;Reajustes por obligaciones a la vista;0;0;0;0;0
4150200;Contratos de retrocompra;-5.024;0;0;-5.081;-10.105
4150201;Intereses;-5.024;0;0;-5.081;-10.105
4150251;Reajustes;0;0;0;0;0
4150300;Depósitos y captaciones a plazo;-46.888;-14.132;0;-6.645;-67.665
4150301;Intereses por depósitos a plazo;-46.264;-4.459;0;-6.645;-57.368
4150302;Intereses por cuentas de ahorro a plazo;0;0;0;0;0
4150309;Intereses de otros saldos acreedores a plazo;0;0;0;0;0
4150351;Reajustes por depósitos a plazo;-624;-9.673;0;0;-10.297
4150352;Reajustes por cuentas de ahorro a plazo;0;0;0;0;0
4150359;Reajustes de otros saldos acreedores a plazo;0;0;0;0;0
4150400;Obligaciones con bancos;-3.810;0;0;-6.351;-10.161
4150401;Intereses;-3.810;0;0;-6.351;-10.161
4150451;Reajustes;0;0;0;0;0
4150500;Instrumentos de deuda emitidos;-2.937;-35.378;0;0;-38.315
4150501;Intereses por letras de crédito;0;0;0;0;0
4150511;Intereses por bonos corrientes;-2.937;-12.143;0;0;-15.080
4150521;Intereses por bonos subordinados;0;-5.281;0;0;-5.281
4150522;Intereses por bonos hipotecarios;0;0;0;0;0
4150551;Reajustes por letras de crédito;0;0;0;0;0
4150561;Reajustes por bonos corrientes;0;-14.116;0;0;-14.116
4150571;Reajustes por bonos subordinados;0;-3.838;0;0;-3.838
4150572;Reajustes por bonos hipotecarios;0;0;0;0;0
